"genes","logFC","logCPM","PValue","FDR"
"AP5B1",0.71114953060242,4.26196308285679,4.32817140638866e-23,3.99533502523738e-19
"SLC4A4",-1.23602283464149,2.38248190825066,3.31580232689325e-22,1.53040856397758e-18
"CCDC141",-1.73115418987107,3.95083488970957,1.19014069143948e-21,3.66206290755929e-18
"RAB22A",0.487257147780485,4.51850176009301,9.18658702025072e-20,2.12003461959836e-16
"RASL12",-1.01459444422404,3.98798527177226,3.52174479428009e-19,6.50184523919989e-16
"MGST3",-0.781769324167955,6.9907109077868,5.72432323760074e-19,8.80687130104873e-16
"TTC13",0.46051280370308,4.16837099672616,1.51865203118934e-18,2.00266812855841e-15
"PRKAR1B",-0.972766650223894,2.72691689414279,2.44122381132816e-18,2.81686712529628e-15
"C9orf3",-0.796020893819495,6.41745346060971,3.24320530738447e-18,3.27332818829746e-15
"RGS3",-1.11686265936844,5.10153455190051,3.54601688690007e-18,3.27332818829746e-15
"DNAAF5",-0.536734664538368,4.93423332489946,7.82088393434513e-18,6.12363583193722e-15
"KRT10",1.16394628686346,4.42900647300437,7.96052756832918e-18,6.12363583193722e-15
"XPO4",-1.3724811588052,7.67023144220463,9.11421469578246e-18,6.47179352744368e-15
"NTPCR",-0.52957385018108,5.49493581324283,1.48901391851192e-17,9.81791962984537e-15
"SH3KBP1",-1.13371573660409,3.99909185561856,1.60117591747614e-17,9.85363659614815e-15
"ODF2",0.849137207362501,3.72481066445046,2.13014795135268e-17,1.22896223368353e-14
"ENDOD1",-0.76388154039919,6.63625812489958,4.73332483548521e-17,2.57019538566847e-14
"SOX9",-1.30351475656386,2.47314402327395,5.07934104548416e-17,2.60485539949246e-14
"CAMK2A",-1.02651608252019,7.31986778902103,6.16183889250737e-17,2.85361590368706e-14
"RAB3IP",0.66214449444048,3.58264848548699,6.18267989099136e-17,2.85361590368706e-14
"TRIM26",0.510713293035886,4.43915525630337,1.21775145821406e-16,5.35288748132093e-14
"ANXA6",-0.458985365315969,8.05817010630461,1.5874818123608e-16,6.6609293681375e-14
"COLGALT2",-1.06981253406686,4.07454319798199,2.63044509504288e-16,1.05572342053656e-13
"DNAJC1",0.683957832716651,3.59869047079081,2.87101550282938e-16,1.10426433777575e-13
"ZNF558",0.469188752595706,3.79715779740204,3.08592268639906e-16,1.13944609272599e-13
"MYL12A",-1.31156695880173,10.1606986101173,3.47292694302491e-16,1.23302263888703e-13
"FAM134A",0.51902613071283,5.15753076446421,3.766392582473e-16,1.28768777514105e-13
"FBXO3",-0.659627622968258,6.24212257886253,5.10060028683993e-16,1.6265824366341e-13
"COX15",-0.5323746985116,5.55699898690736,5.11005207045704e-16,1.6265824366341e-13
"PRKCD",1.2478570783708,3.24192380520702,7.10869811073627e-16,2.18734640867355e-13
"TMEM214",0.511721276273543,5.55482820090075,1.45483131320956e-15,4.33211221039918e-13
"ZBTB7B",0.58185429842621,5.73771793086162,1.69766667883904e-15,4.89723784761348e-13
"C7orf26",0.436051466635078,4.28166976197427,2.3557037641551e-15,6.58954589300478e-13
"GPRASP2",-0.566086526378295,3.14275986257325,2.81525361542579e-15,7.61742452826879e-13
"LONRF3",0.835687359574316,3.60117707162279,2.88820126193704e-15,7.61742452826879e-13
"SOCS4",0.478860887069652,4.08931348282896,4.38565352099395e-15,1.1245546570082e-12
"MYH7B",-1.48546739929346,7.61908381556959,5.60966232151861e-15,1.3995349429713e-12
"MED15",0.491112500750181,6.29500570363591,7.77172617055168e-15,1.88791590211481e-12
"ZSWIM4",0.864522203976041,2.44161825948124,7.99804328531081e-15,1.89307532222318e-12
"SRPK3",-0.885108096120556,6.89191099196059,1.07520005635195e-14,2.48129293004621e-12
