"genes","logFC","logCPM","PValue","FDR"
"OSTM1",0.739621996446642,4.76584171420081,1.52518061670164e-40,1.40789422727728e-36
"CBFB",0.681527016687211,5.34283461734315,5.34079559754056e-36,2.46504420804485e-32
"SLC3A2",0.774018952168274,6.30783645074498,6.56530070159022e-35,2.02014302587931e-31
"NUP88",0.571163039482729,5.72722418252107,1.31313228217621e-34,2.55081140469358e-31
"PLEKHM1",0.838906148160395,5.13367744074735,1.38165496950145e-34,2.55081140469358e-31
"CYLD",0.992098086996967,6.56316504379524,2.45311386852191e-34,3.77411568672096e-31
"DIAPH1",0.788604095937409,8.0864740679722,3.72450682431643e-34,4.91156035646643e-31
"BLOC1S2",0.698924123966257,5.17555831504448,4.71083833201365e-34,5.43571858035226e-31
"TMEM183A",0.590123401575632,3.97156899308133,5.54489752079561e-32,5.6872165571627e-29
"APBA1",-1.11836200240357,2.61512079514157,2.31943069526977e-31,2.07758381021782e-28
"ANXA6",-0.600077480749886,8.05817010630461,2.47572548070589e-31,2.07758381021782e-28
"RCSD1",-1.22266506288192,6.33746819472222,3.6202851334498e-31,2.78490433890626e-28
"GSTA4",-0.71852035535254,3.8610811357425,4.40605692268887e-31,3.12863934256469e-28
"ERRFI1",1.66593249212024,7.31825237294962,1.2502874380603e-30,8.24385952909614e-28
"PLEKHA1",0.779876660099232,5.72110593116461,5.94861370363334e-30,3.66077687321596e-27
"2-Mar",-0.845658558594901,4.09888123976893,1.32581455753001e-29,7.6491213628497e-27
"UCKL1",-0.744247547412375,5.94016265138896,1.86818311563621e-29,1.01442343179046e-26
"OSBPL8",0.932418192227726,5.34370027838704,2.36480589311082e-28,1.21275128885033e-25
"SEC61A1",0.641444862238511,6.86686111497909,5.44239232441201e-28,2.64414334456038e-25
"ZBTB42",0.758199002158874,3.32829471474785,9.96287500155935e-28,4.59836495696972e-25
"IMPAD1",0.539886876935643,6.97335646314077,5.46082446351925e-27,2.40042241060696e-24
"SIRT3",-0.644758388612142,4.87484801904974,5.90799281766997e-27,2.4789400772687e-24
"SLC7A6",1.00225658476844,6.46816695377913,9.35693617706349e-27,3.75538599349883e-24
"AAK1",0.726724973091469,5.75297792733109,1.024741178137e-26,3.94141075640945e-24
"SOCS4",0.597884200319646,4.08931348282896,2.23338525871305e-26,8.24655172927205e-24
"ECHDC2",-0.728797569660343,6.09928612324498,2.91469098401586e-26,1.03482740282502e-23
"SPAG9",0.427498897390174,7.73230100124536,3.13570329291539e-26,1.07206211470007e-23
"CLEC3B",-1.87750865711111,3.30291536519058,3.80338137647017e-26,1.25389333879272e-23
"NREP",-1.47625768854854,4.87119671983361,8.83589656017655e-26,2.81255728093068e-23
"SSH2",0.608448945483864,8.03239036639536,1.16600064574431e-25,3.58778398695524e-23
"PSIP1",-0.788846732291209,5.14110443084656,1.26595397216687e-25,3.76968423131367e-23
"ANP32B",0.76497353880244,5.94604524202311,1.45993255133585e-25,4.21144918168165e-23
"CTNNBIP1",-0.908714682359341,4.15097468899149,2.83528942824817e-25,7.9310777915633e-23
"DERL2",0.492646563752342,4.10505716536072,4.33551499937245e-25,1.17709232232962e-22
"AKR7A2",-0.58450904534022,5.0204084249475,7.07703057158735e-25,1.8665162630378e-22
"CHD4",0.53547700798075,6.7390609935239,1.62358809650406e-24,4.1631504774525e-22
"IRAK1",0.677407518644223,6.61767578551511,2.08265648189614e-24,5.08763448916861e-22
"AEN",1.07698484292112,4.02019935081855,2.0943571724451e-24,5.08763448916861e-22
"FAHD2A",-0.528244324468663,4.81213560714987,2.38637239439532e-24,5.64835989042645e-22
"SMARCC1",0.559506021205037,5.94554411912659,2.95734520001828e-24,6.82481338534219e-22
"ACE",-1.35181582517932,3.53656316629893,3.60201473457686e-24,8.10980439387293e-22
"NFKBIB",0.670120470119293,4.58852564508534,4.90430856229787e-24,1.07789696044218e-21
"HMGCL",-0.590622582236103,5.31330292282535,5.48534098232729e-24,1.17756238622938e-21
"OSBPL2",0.483328712130335,5.08718108689627,6.15230503664902e-24,1.29072563166607e-21
"FXYD6",-1.11322883518087,3.49954516754735,6.54229739516467e-24,1.34204327232811e-21
"KLHDC3",-0.880838247897733,7.35039910996867,7.34238348500549e-24,1.47342482500186e-21
"DHX32",0.468478652725577,4.77918619798135,8.08515939959396e-24,1.58795971101387e-21
"NINL",-1.21500019672458,2.30679369531174,2.88657441765368e-23,5.55124342695024e-21
"NIFK",0.593036350685565,4.32772634243422,3.39683210359287e-23,6.39921574454403e-21
"TBC1D15",0.574889501154971,5.89289761494806,4.71663962281613e-23,8.68474770428408e-21
"EEF2KMT",0.636136209687677,2.55713446608531,4.79820315153817e-23,8.68474770428408e-21
"C1orf123",-0.441002214906255,5.35708082173801,5.06837002943697e-23,8.83656759767721e-21
"STRN",0.619703769522129,5.45054935357094,5.0735357239399e-23,8.83656759767721e-21
"STAM2",0.450976575699277,4.30980807689486,6.33158572570782e-23,1.0823494043335e-20
"DLG1",0.476628207084909,5.89927016335561,8.55882879543168e-23,1.43648270201145e-20
"PHLDA1",1.5533020947512,3.7250333450549,9.42332581306356e-23,1.55333429607839e-20
"IFIT1",-1.5162949952068,4.11385891454559,9.94516472106604e-23,1.61059325509054e-20
"ARHGEF4",-0.964836610959154,3.30965847011012,1.24195474647203e-22,1.97663521804885e-20
"AAMDC",-1.21684331474128,5.10199876886079,1.27886521599805e-22,2.00088217099628e-20
"RASL12",-1.0120036295224,3.98798527177226,1.89345194845099e-22,2.91307582269185e-20
"EML1",-0.803798795277566,4.94356910806613,1.97510951584948e-22,2.98889113783714e-20
"USB1",0.653281411511004,4.0228266934399,2.69205870429777e-22,4.00812804828592e-20
"PPM1L",0.651817003046314,6.43826185716586,3.61543948768456e-22,5.29747966838352e-20
"ZNF655",0.45441105430762,5.56644232566803,3.98886413627802e-22,5.75331325655974e-20
"CPSF4",0.413799493414467,4.78824429195302,4.09262572333394e-22,5.81215816186086e-20
"ATP6V0A2",0.407867389951944,4.45699136249961,4.49647006630999e-22,6.28892654274357e-20
"CDNF",-0.879290397049286,3.73728787883496,6.10644547513949e-22,8.41322360910637e-20
"EIF5B",0.709887184463619,7.8541838754796,6.65967084536788e-22,9.01861726681364e-20
"TSPOAP1",-0.953032089929947,3.78532539937215,6.7412478757463e-22,9.01861726681364e-20
"SLC2A4RG",-0.725304061883901,6.36073523185061,8.34110076760361e-22,1.09995287408213e-19
"MDM2",0.879570025225097,6.23760806493689,1.17515872637578e-21,1.52787185960209e-19
"THOC6",0.7011358715314,3.81659253365115,1.23376703788707e-21,1.58179215649104e-19
"UHRF1BP1L",0.61938373973955,5.34908228087954,1.80941546991617e-21,2.28804304147893e-19
"XPR1",0.517317509919087,4.60317660486357,2.04090688184776e-21,2.54589343599144e-19
"GSTK1",-0.517194350636355,6.5220512740799,2.07296816663589e-21,2.5478121481823e-19
"DNAJC2",0.621266732502122,4.91786684671206,2.09764622751441e-21,2.5478121481823e-19
"PAK2",0.405894412638727,6.37591360349881,2.2496490155253e-21,2.69694935874209e-19
"MIEN1",0.619798492467091,4.02091196712062,2.63818792927639e-21,3.12219394553209e-19
"LRRC20",-1.28004834624462,7.90944728860463,3.33312564482901e-21,3.89469402878691e-19
"PLCB1",-0.904204297823467,4.23261784041306,4.01828094591171e-21,4.63659392646387e-19
"IFT27",-0.746234941096438,3.19235546911483,4.32643160987366e-21,4.87601759996366e-19
"NRP1",-0.974703565861224,6.19465761103146,4.33142068245066e-21,4.87601759996366e-19
"PQLC2",0.569996677035066,3.40831354368961,4.55269080964008e-21,5.0633601040708e-19
"DDX54",0.498008048698454,6.26104055623021,4.74876010580612e-21,5.21854815913051e-19
"BACH1",0.586912667251715,5.86296529823947,4.88849219725579e-21,5.2471942769571e-19
"SMARCA2",-0.507329264809129,7.08817153288327,4.88851378852031e-21,5.2471942769571e-19
"COL15A1",-1.27567073001499,6.22346273676873,7.85665101544907e-21,8.30620801595585e-19
"CALM3",-0.551551626234792,7.60715844648247,7.91838701553585e-21,8.30620801595585e-19
"ACOX2",-1.06515579218317,3.40417312547877,8.12125438162923e-21,8.42329204458646e-19
"GAREM2",-1.12789704719421,2.35901945769197,9.46364351356843e-21,9.70654369708336e-19
"GPX3",1.0603907389828,8.66949421140568,1.1286491754904e-20,1.14489676252219e-18
"CARS2",-0.508514527352519,5.50624529713699,1.3200342952166e-20,1.32448223686353e-18
"GRHPR",-0.491101801191096,6.46845363014387,1.36081671301429e-20,1.35072033094999e-18
"RAP1A",0.400075605388623,6.2630117617563,1.60809859554447e-20,1.5791870356884e-18
"GPRASP2",-0.613675959792807,3.14275986257325,1.69602515056611e-20,1.64800085946061e-18
"ALDH1A1",-0.924209427299524,5.92590018810494,2.396512691635e-20,2.30439673505027e-18
"SCAF4",0.34806371062831,5.16181025362771,3.27754620641708e-20,3.11907515788001e-18
"RANBP2",0.404557220289351,7.42514028033345,3.43662689184006e-20,3.22483309456146e-18
"RPN2",0.385450008225516,6.773808769257,3.45854703024141e-20,3.22483309456146e-18
"PDLIM2",-1.09903733896752,5.38765767484965,3.66314493933739e-20,3.38144909350234e-18
"MYOZ1",-1.17617841878662,10.9777528793473,4.04768903717912e-20,3.69942747546539e-18
"SESN2",0.920670520819108,3.52803632360721,5.27789420525426e-20,4.7764942557551e-18
"SSX2IP",0.878969336689361,3.02666704513191,6.36185251588545e-20,5.70157869651831e-18
"MPP1",-0.531878635394099,4.4482191247002,7.50760191025472e-20,6.66371858015013e-18
"ADAM17",0.574614556815331,3.96935985162767,8.16196428175772e-20,7.17553259856243e-18
"ETF1",0.379541828653459,7.0783720031107,8.75594619046261e-20,7.62510747963777e-18
"SLC16A10",0.977836243070934,6.17863968119381,8.84816849203598e-20,7.63340592055926e-18
"PROSER3",0.96836703536294,2.32036782272743,1.01822282611154e-19,8.70297676651444e-18
"SLC29A1",-0.75339387777179,6.78996700169306,1.03788385829994e-19,8.7896384366667e-18
"MCEE",-0.542535154193052,3.6934169121063,1.25324272244302e-19,1.05169850644286e-17
"TMEM143",-0.97158408022192,6.0415792748778,1.42930309290255e-19,1.18075101358091e-17
"DLG5",0.673176546086785,6.08560967837003,1.43260874792614e-19,1.18075101358091e-17
"ZNF598",0.51327437552001,5.20089190422904,1.45027256363062e-19,1.184731507511e-17
"BAHD1",0.516929582476541,4.39203271795336,1.60155350191879e-19,1.29372881948549e-17
"KLHL13",-0.79883903103894,2.13328253457979,1.61173019435415e-19,1.29372881948549e-17
"CDC42BPB",0.476603853895524,6.45015042819662,1.81396196354076e-19,1.44350714529696e-17
"CAPN3",-1.16722075446288,8.90070912143543,1.94267691127048e-19,1.53272227076391e-17
"ILF2",0.330430699732468,6.34818357061151,1.96718211944947e-19,1.53890323259644e-17
"ZMPSTE24",0.552737960247382,4.72068509589114,2.06283966146522e-19,1.60017419453659e-17
"SLC5A6",0.593367239060727,4.71404448867126,2.61283251685373e-19,2.00992141358973e-17
