"genes","logFC","logCPM","PValue","FDR"
"HSPA1B",2.23025961587236,6.14433057513521,8.7933555446535e-65,8.11714650326964e-61
"HLTF",-0.849761818566005,4.2620292950593,7.29708937355705e-39,3.36797160036526e-35
"HSPA1A",1.64453168379909,6.70337180446037,6.05563773367135e-36,1.86331973065067e-32
"GLRX",1.11573897087991,7.14421107624603,3.05651538181545e-30,7.05367337238461e-27
"ZNF598",0.560917828086712,5.20089190422904,1.0968288030301e-29,2.02496533615417e-26
"EML1",-0.806040459409104,4.94356910806613,1.53535957711317e-29,2.36215070938862e-26
"NREP",-1.33719281447549,4.87119671983361,8.24976067283577e-29,1.08790772529924e-25
"FAM134A",0.568503155663757,5.15753076446421,2.5676977968705e-28,2.76436990319818e-25
"SCP2",-0.606547560214018,6.53338382864427,2.69519327578633e-28,2.76436990319818e-25
"TCOF1",0.538799063468143,5.44743250309682,4.30270653085326e-28,3.97182839863065e-25
"2-Mar",-0.697992838423555,4.09888123976893,7.46356635909751e-28,6.2632891873481e-25
"NUDT6",-0.712929575696682,1.50398017952897,1.78902985269094e-27,1.37621121418251e-24
"GSTA4",-0.573267024051235,3.8610811357425,1.98095879276528e-27,1.40663312430895e-24
"TTC3",-0.614659132285832,6.76762896261618,3.07076930688713e-27,2.02473367656251e-24
"CLASP2",-0.608852870213702,6.42106974883011,3.29543099170102e-27,2.02800823229281e-24
"COQ7",-0.527827189954355,4.94829618873388,7.04837677423843e-27,4.06647287518719e-24
"RTN4",-0.696611868626644,8.94379472200338,9.76219632786354e-27,5.3008726060299e-24
"SIRT3",-0.550184471559199,4.87484801904974,1.11456772400292e-26,5.71587481126162e-24
"ODF2",0.870566813335125,3.72481066445046,1.53824627756096e-26,7.47344809903433e-24
"HGS",0.528654017885159,5.95193281444164,1.95914543967711e-26,9.04243577682969e-24
"GSTK1",-0.50193647569577,6.5220512740799,2.33814132396541e-26,9.87687511571922e-24
"RHOG",0.703934661512496,4.51716183771803,2.35392972100339e-26,9.87687511571922e-24
"CRTC2",0.492809136021441,5.30844411319627,3.59323990230357e-26,1.44213902339845e-23
"C17orf75",-0.465623492438753,3.8038940383647,6.86288750465981e-26,2.63963810647978e-23
"MED15",0.534946234420102,6.29500570363591,1.20945154808322e-25,4.46577889614249e-23
"SIRT7",0.706986350613251,2.96824688538529,1.56510349965733e-25,5.37449309883125e-23
"PRKCD",1.32809717145948,3.24192380520702,1.57199993140986e-25,5.37449309883125e-23
"TMEM214",0.540899233991001,5.55482820090075,1.99875799780558e-25,6.39133030858525e-23
"MRPL16",-0.487916375566144,5.20241977912853,2.00789274129533e-25,6.39133030858525e-23
"IRAK1",0.612171962829392,6.61767578551511,2.1752672680984e-25,6.69329738393879e-23
"NR3C2",-0.739360673499074,4.55695117420226,3.03976454430472e-25,9.05163435757318e-23
"HMGCL",-0.521820217438043,5.31330292282535,3.5561733669088e-25,1.02103503272468e-22
"RGS3",-1.04666675800119,5.10153455190051,3.65010898926599e-25,1.02103503272468e-22
"GPRASP2",-0.59311760386512,3.14275986257325,4.06492302463294e-25,1.10362660118784e-22
"ECHDC2",-0.611126739034926,6.09928612324498,4.48518897134077e-25,1.18293655412705e-22
"BRMS1",0.598900687088144,4.40004117272479,7.28880077776301e-25,1.8689699994314e-22
"CTDP1",0.515169336269305,4.26407017109331,9.95111430771194e-25,2.48266854525646e-22
"ITPK1",0.677288278084763,5.50415739959191,1.08323262122254e-24,2.63140008592244e-22
"RCSD1",-0.911255354750747,6.33746819472222,1.25522733732206e-24,2.97102655149228e-22
"MDFIC",-0.799640247460289,4.65737346438602,1.37932887612126e-24,3.18314621386885e-22
"SLC4A4",-1.01400540384805,2.38248190825066,1.65436887419646e-24,3.72475099456281e-22
"CBFB",0.493775675240252,5.34283461734315,1.83107399564426e-24,4.02443906042671e-22
"APBA1",-0.821512404299625,2.61512079514157,1.87830911078e-24,4.03224916316515e-22
"SUOX",-0.585064616205047,4.99257689541812,2.16154632841441e-24,4.5348259449076e-22
"TRIM26",0.509091918771254,4.43915525630337,2.36857474416444e-24,4.85873632519598e-22
"ANKH",-0.5945041248416,6.86452034493581,2.68557644831866e-24,5.38925134661511e-22
"TRAK1",-0.650514529396075,7.65262910092487,7.86130369678219e-24,1.54399349840418e-21
"DZIP3",-0.561755624266513,4.72944173352482,9.11650048628419e-24,1.75321699976853e-21
"QDPR",-0.582763386090648,5.42609041276129,1.08608878906917e-23,2.04605828814235e-21
"PLEKHM1",0.611681315839651,5.13367744074735,1.40471691011015e-23,2.50558259363298e-21
