"genes","logFC","logCPM","PValue","FDR"
"ACLY",1.31279524570074,5.04646074081664,1.99966829538532e-30,1.84589380347018e-26
"ADH1B",2.28302346729955,6.56987447259059,4.69412663423587e-30,2.16657414803157e-26
"PRKCD",1.80381180678311,3.24192380520702,3.89174045211702e-28,1.19748853711641e-24
"FADS1",1.79547710333268,4.75062559424916,3.68399152583016e-23,8.50173144373455e-20
"STAT5A",1.01424943372224,5.33839538495811,2.395631206753e-22,4.42281433390739e-19
"CPM",1.87385794505975,3.949571575016,4.69977146650331e-22,7.23059840121535e-19
"SLC25A1",1.41542266784293,4.04335517846079,9.48771907588635e-22,1.21904983541113e-18
"AIFM2",1.26591338981248,3.97447488651234,1.05648344527018e-21,1.21904983541113e-18
"RHOG",0.854047173391476,4.51716183771803,1.84815827018466e-21,1.89559433245274e-18
"ITPK1",0.826839953607067,5.50415739959191,1.95465381194378e-20,1.8043409338053e-17
"CD163",1.91502712982509,4.43271333614836,5.32155229262881e-20,4.46574992847786e-17
"COQ7",-0.642571617684986,4.94829618873388,6.06469903141108e-20,4.55638425325076e-17
"AOX1",1.8203784196221,4.67701650532154,6.41674740464303e-20,4.55638425325076e-17
"TRIM26",0.625540347583431,4.43915525630337,8.13471055474044e-20,5.3636795093435e-17
"ODF2",1.00206250643415,3.72481066445046,1.07143145575298e-19,6.59358917870386e-17
"BIN3",0.884690725463224,3.03240008209359,3.56380674168787e-19,1.99256408701344e-16
"PYGL",1.80334846356515,3.19546365958524,3.66954712157172e-19,1.99256408701344e-16
"SEC31B",-1.02221651014449,4.97759803537258,4.78269798071747e-19,2.45272694777794e-16
"PGD",1.00368478404028,4.92225919945494,5.04936565127758e-19,2.45319443826017e-16
"RBFOX2",-0.752770005769451,7.40294574208545,6.08422223423079e-19,2.7459184147507e-16
"FAM134A",0.627922675652937,5.15753076446421,6.24680822335226e-19,2.7459184147507e-16
"SOAT1",1.02349364699998,3.49107274092066,1.50369272354264e-18,6.3093579686464e-16
"RAB8B",1.04690075168385,3.76546521522473,1.75352212001948e-18,7.03772290865209e-16
"TRIM7",-1.31251049621834,6.85968320512525,2.20572276440425e-18,8.48376118258985e-16
"FASN",2.17059946572398,6.83374563128933,2.951947055286e-18,1.0899769306938e-15
"TMEM214",0.61769859749375,5.55482820090075,3.35598622989022e-18,1.19150418800448e-15
"MOB3A",0.78763672401434,4.40585834230745,3.69223706502477e-18,1.26233482767569e-15
"KIF3B",0.882010483647569,3.74487876566485,4.74634773679417e-18,1.56476914136953e-15
"UCKL1",-0.69610154322181,5.94016265138896,5.78144674661424e-18,1.8402943075171e-15
"NAGLU",0.95485652566185,3.82076647457243,6.92806988004499e-18,2.13176710208984e-15
"NDUFA10",-0.689871450187035,7.44523393686506,1.04305705706672e-17,3.10595473992996e-15
"TKT",1.45125815988304,4.66591437721782,1.21323552210536e-17,3.49980534517331e-15
"ECHDC2",-0.71043568638079,6.09928612324498,3.1588577342353e-17,8.83618658931092e-15
"CELF2",0.861995038426852,5.93247556922673,3.32706430314225e-17,8.85847510005776e-15
"DNAJC1",0.785021467651013,3.59869047079081,3.3587545065759e-17,8.85847510005776e-15
"PCBD2",-0.791599170909177,5.00299718682807,9.13777294989889e-17,2.32490439108026e-14
"GTF2E2",0.693903257163365,3.38862425459148,9.31875879861009e-17,2.32490439108026e-14
"CLASP2",-0.664715961604756,6.42106974883011,9.63394010019507e-17,2.34028687012896e-14
"SCAMP2",0.653455829905445,5.24689702069015,1.04544569256547e-16,2.47448953540304e-14
"ACAD8",-0.478619687591449,5.3926548944504,1.79907973400887e-16,4.15182625615896e-14
"AGPAT2",1.47125170574082,4.70723429265726,1.93008861956121e-16,4.3455239139438e-14
"TRAK1",-0.757338536659804,7.65262910092487,2.00095770781902e-16,4.39781919068508e-14
"ZNFX1",0.529531603354063,5.8806731165897,2.64510303038134e-16,5.67835955196516e-14
"RNF213",0.738866180371889,6.84580914776294,3.66348748875846e-16,7.68583022925667e-14
"DCLRE1C",0.864204185043878,1.92569308371662,3.87566493638205e-16,7.95028067283172e-14
"MGAT1",0.5919501477817,6.34029043346867,3.98418728708591e-16,7.9952245319761e-14
"CLPTM1L",0.55159817119138,4.83132116608768,5.29516084457653e-16,1.03999212247417e-13
"CDH13",-0.751494974947776,6.10209142355602,5.50381334885438e-16,1.05845210465156e-13
"CLCN1",-1.43141060128316,5.43188321794564,5.73403115291261e-16,1.08022125658237e-13
"ZNF76",-0.581214161987738,5.6523667229734,8.71918287040122e-16,1.59678255312263e-13
"HACD2",1.16755097265348,3.69646303262394,8.82200305592613e-16,1.59678255312263e-13
"LARP4B",-0.51273215535728,6.74312694909703,2.15032652128874e-15,3.81724309961853e-13
