"genes","logFC","logCPM","PValue","FDR"
"DPP9",2.20195544204257,7.01395543830089,4.17045667841502e-105,3.8497485598449e-101
"NDUFC1",-0.901866452824964,6.40720125443996,2.14508285068487e-25,6.7496786531652e-22
"GSTK1",-0.589725846845597,6.5220512740799,2.19359072251063e-25,6.7496786531652e-22
"2-Mar",-0.844260537061277,4.09888123976893,7.040355109682e-25,1.62473795043686e-21
"COQ7",-0.609420596871587,4.94829618873388,2.19228258601861e-24,4.04739211030755e-21
"HIBADH",-0.755225728139115,6.37831181768217,2.93504041350248e-24,4.51555967617356e-21
"GLRX",1.14896201035711,7.14421107624603,3.87801360380181e-24,5.11399193952779e-21
"PNPLA4",-0.91803326737417,4.79643935219473,6.21871101325346e-24,7.17561517041784e-21
"PPP1R16A",-0.962355435281981,4.9374540768804,1.79389600919011e-23,1.83993934009266e-20
"HLTF",-0.807612715883399,4.2620292950593,2.43395464758505e-23,2.24678353518576e-20
"FBXO3",-0.754449685444385,6.24212257886253,8.39404718090894e-23,7.04413177517913e-20
"RHOG",0.778255216705626,4.51716183771803,2.19724079941524e-22,1.69022748495018e-19
"MDH1",-1.04096647522292,8.42409891305029,2.44734667921715e-22,1.73780439968104e-19
"SUOX",-0.702336210545982,4.99257689541812,2.67552894024198e-22,1.76412911766955e-19
"NDUFS7",-0.951431486812863,6.91793364973453,3.9882580476359e-22,2.45437400251513e-19
"MRPL16",-0.531740658013207,5.20241977912853,1.12000003602186e-21,6.46170020782361e-19
"PRKCD",1.42980286346785,3.24192380520702,1.93623307462624e-21,1.02571027657626e-18
"UCKL1",-0.648097342691163,5.94016265138896,2.00008503719778e-21,1.02571027657626e-18
"VDAC3",-0.790515493516982,8.30503797386606,4.01386367837519e-21,1.95010397974113e-18
"ALDH5A1",-1.02936924989692,6.04670880276416,4.36347493557387e-21,2.01396185651412e-18
"RGS3",-1.17904775243345,5.10153455190051,7.67894228885043e-21,3.37544363182754e-18
"SCP2",-0.59018008341742,6.53338382864427,4.79582247335043e-20,2.01228351143172e-17
"NDUFA9",-0.826458059312489,6.79526648412899,5.94286979678465e-20,2.38515787365735e-17
"ECHDC2",-0.658909952381517,6.09928612324498,7.23170678063785e-20,2.78149522050283e-17
"MGST3",-0.75051608037918,6.9907109077868,8.98533460060182e-20,3.31774494792622e-17
"CALM3",-0.536412717541595,7.60715844648247,1.59937060739395e-19,5.67838079878981e-17
