"genes","logFC","logCPM","PValue","FDR"
"HLTF",-0.672412879103693,4.26202531422569,5.33622731159897e-69,4.92587143133701e-65
"GSTA4",-0.541923850613257,3.86107524561664,5.40736550253657e-66,2.49576954769575e-62
"ECHDC2",-0.5961419888492,6.09928414047601,2.19600958165925e-62,6.7571214827655e-59
"GSTK1",-0.469435593398777,6.52204642019383,9.91540866706433e-62,2.28822843514177e-58
"2-Mar",-0.638335019759985,4.09887712898632,1.42017712869306e-61,2.62193101499313e-58
"SIRT3",-0.49489737358391,4.87484241099305,6.57024270340112e-59,1.01083183991826e-55
"HMGCL",-0.481566748714742,5.31329807380841,2.68235844457493e-58,3.53726440026731e-55
"QDPR",-0.554720109630309,5.42608190501152,6.93211139156382e-58,7.9987900319407e-55
"RGS3",-0.923558445774876,5.10153425838622,3.04061491632556e-56,2.825792809828e-53
"APBA1",-0.783306883111074,2.61512705417337,3.06119901400498e-56,2.825792809828e-53
"MDFIC",-0.725735183907636,4.6573714246124,4.35502160812525e-56,3.65465495132765e-53
"TTC3",-0.530505076732557,6.76762614993324,5.56795573900625e-56,4.28314995223056e-53
"MRPL16",-0.434427107492415,5.20240972183485,8.11314911829929e-56,5.76095996238621e-53
"SCP2",-0.507677538664765,6.5333772868941,2.7177856134552e-55,1.79199135698607e-52
"EML1",-0.652327805277319,4.94356281188806,2.00336096517453e-54,1.2328683379684e-51
"BPHL",-0.630065243106465,3.06053578845534,6.51616414848389e-54,3.75941945341592e-51
"UCKL1",-0.541596619161126,5.94015680501884,8.82575208545541e-54,4.79238338240229e-51
"NREP",-1.06352763941743,4.87119282176841,1.45087886812208e-53,7.21680994592196e-51
"COQ7",-0.451334354043052,4.94828705316591,1.48542291162948e-53,7.21680994592196e-51
"ZNF331",-0.939232449018827,4.59398583032997,1.57932431405165e-53,7.28937137150541e-51
"FAM134A",0.514058266171837,5.15753340550119,1.78846296321164e-53,7.86157219686031e-51
"IVD",-0.502244885224522,6.11555109505256,3.57973711535834e-53,1.50202515053967e-50
"GPRASP2",-0.527590109017643,3.14275415304829,8.75588346377563e-53,3.51415479365708e-50
"FASTK",-0.520004318470754,6.89925720484731,1.69104121456548e-52,6.50416727152248e-50
"SUOX",-0.507757291394765,4.99257329669835,4.18135131386934e-52,1.54392215913311e-49
"NDUFC1",-0.645331570065404,6.4071914537874,8.94286717207062e-52,3.17506180251477e-49
"HIBADH",-0.561015447504523,6.37830421781677,1.19596832375829e-51,4.0888828135603e-49
"RCSD1",-0.78664614912546,6.33745777329825,1.79616157893027e-51,5.92155983396618e-49
"PMVK",-0.511602262506357,4.65846042112678,6.84813407099544e-51,2.1798319175641e-48
"EID1",-0.401760738967107,7.19937022779524,3.92659324906024e-50,1.20821274273584e-47
"SLC2A4RG",-0.572353070086317,6.36073054085565,5.08588811403535e-50,1.5144462316342e-47
"ANXA6",-0.400438121142906,8.05816749568841,5.89955414378692e-50,1.70183700941553e-47
"GRHPR",-0.404754541427292,6.4684484308709,1.00019315447435e-49,2.79781303301597e-47
"AAMDC",-0.907143125290928,5.10198457529925,1.67567604682049e-49,4.53923090757936e-47
"RASL12",-0.786144424547832,3.9879846390195,1.72108202540654e-49,4.53923090757936e-47
"ACTR10",-0.340147422323706,5.38901600011947,2.88680551717488e-49,7.40225048028924e-47
"MGST3",-0.605209149449478,6.99070620821313,3.53920882108014e-49,8.82984773713265e-47
"ANKH",-0.510442771528896,6.86451373286908,4.87288447004499e-49,1.1837262248154e-46
"IL11RA",-0.616771714858465,4.05742139359372,6.25351008656288e-49,1.47397322842454e-46
"C17orf75",-0.386374122811968,3.80388880783058,6.38705764673182e-49,1.47397322842454e-46
"C7orf50",-0.568224253165316,5.37351260190966,7.4243236639971e-49,1.6715593107892e-46
"VDAC3",-0.613452825445997,8.30503385333851,8.74932136217721e-49,1.92297584510138e-46
"PRKCD",1.28447130317687,3.24195474173985,9.43107574347712e-49,1.99884347389368e-46
"FAHD2A",-0.394518024002623,4.8121283576618,9.52758236933397e-49,1.99884347389368e-46
"TRAK1",-0.556470465104664,7.6526245099279,2.4053552814105e-48,4.93418546726674e-46
"MPP1",-0.435169135770212,4.44821352114839,3.03228772402616e-48,5.8969712970641e-46
"CLASP2",-0.491658397396172,6.42106490792696,3.04491273448269e-48,5.8969712970641e-46
"PNPLA4",-0.637039123495275,4.79642804091208,3.06634841576294e-48,5.8969712970641e-46
"CALM3",-0.439772393217838,7.60715329932454,3.59241389365865e-48,6.76766788823734e-46
"LYPLAL1",-0.45714276399957,4.06629800096284,9.19277069026508e-48,1.69716932483674e-45
"ODF2",0.77734551008485,3.72482836980593,1.08832454171377e-47,1.96986742050193e-45
"OSTM1",0.469917124216677,4.76583991435771,1.21142752468189e-47,2.15051682314202e-45
"TMEM183A",0.411586560868358,3.97156945003198,1.65518129626717e-47,2.88282614072496e-45
"PLEKHM1",0.572195445880251,5.1336835906611,5.91146774870763e-47,1.01053257015408e-44
"MCEE",-0.443358556452961,3.69341265774507,7.44864694344252e-47,1.25015381699851e-44
"TMEM214",0.478994108409518,5.5548265727738,1.13739517603543e-46,1.87487408392554e-44
"KLHL13",-0.64388102254358,2.13328147187894,3.02049179497265e-46,4.89160697533202e-44
