"genes","logFC","logCPM","PValue","FDR"
"SPIDR",-1.21082975436372,4.94961563396916,3.35831047056338e-64,3.10005639537706e-60
"ANKZF1",-0.573543865388883,5.09536619109392,5.10953348734874e-42,2.35830518108581e-38
"PHF8",-0.503950082474649,4.84138346116546,6.55852777413538e-41,2.01805899610146e-37
"HSPBAP1",-0.666802122637368,4.65563307004302,3.29017865386949e-36,7.5929097884673e-33
"YPEL3",-0.638082434680235,6.43260544799451,3.04213341560953e-34,5.61638671189831e-31
"ST6GALNAC6",-0.821242868253843,4.85122711862402,5.29420555009418e-34,7.65193112325295e-31
"TP53INP1",-0.755839166847641,4.77031041782508,5.80256937089922e-34,7.65193112325295e-31
"SPSB3",-0.526102038610774,4.75870329195985,3.56730435275307e-32,4.11622331003295e-29
"ATG2A",-0.693499131369089,5.64359519820037,5.32597664483133e-32,5.46267671204867e-29
"CCNL2",-0.570962767193463,6.86671864935986,9.84088437763998e-32,9.08412036899947e-29
"DIP2A",-0.528289056166569,5.39730792979334,1.34999179106795e-31,1.13288856575893e-28
"SRSF11",-0.560976368951148,7.42973525028984,3.35785069648215e-31,2.5830266482689e-28
"CD55",-0.871853053160854,6.58011533566762,1.07252549216084e-30,7.61575601395133e-28
"MGEA5",-0.486517416898528,7.21240238873082,2.07177762088862e-30,1.36604137274449e-27
"FOXP1",-0.913862853302879,4.82021707698903,4.80658316963785e-30,2.95797128259514e-27
"ANKFY1",-0.61770775825593,5.74964552529724,1.11703692982328e-29,6.42674551441145e-27
"DDRGK1",-0.533618093931782,5.08022508014259,1.18356270983636e-29,6.42674551441145e-27
"N4BP2L1",-0.728536631561703,3.96707184761517,1.3927635729162e-29,7.14255585643859e-27
"CLCN6",-0.449473913289497,4.96668467582558,2.30605930808411e-29,1.12038070910129e-26
"CLASRP",-0.562023518571345,5.47468121424971,2.74836159874242e-29,1.26850629589956e-26
"NELFA",-0.432926954506504,4.20996494260213,9.48210407933048e-29,4.16806203601427e-26
"CREBRF",-0.574041883752848,5.03595400410391,2.55428927496127e-28,1.07175655896216e-25
"BTG1",-0.948671307718996,5.53053566659179,8.16457988184394e-28,3.27683638649136e-25
"PNISR",-0.524288356365388,7.65077522223657,1.87962960640377e-27,7.22952537363049e-25
"RGL2",-0.359036568672048,5.93570122595887,3.61396292023025e-27,1.33441966866582e-24
"AKAP8L",-0.437183714862414,6.00838614081178,4.3883650126028e-27,1.55803836274371e-24
"GUSB",-0.592056773794784,4.3343487396921,5.95711747762673e-27,2.03667227540638e-24
"SFSWAP",-0.419104773774875,5.7252417069103,1.1351542592532e-26,3.74236034541653e-24
"STX5",-0.470172064378493,4.45175122168585,1.17940983103481e-26,3.75418350009734e-24
"DPP7",-0.532986837809029,5.64768803618521,1.4011903832948e-26,4.3114628093981e-24
"MCM7",-0.421657295385716,5.65945578912161,1.68103773804398e-26,5.0056965677045e-24
"ATP13A1",-0.500284928718518,5.10884235864224,1.77271810725027e-26,5.11373776500852e-24
"DDX39B",-0.499911146110834,6.89496044920962,2.60998784591611e-26,7.1773459867482e-24
"RPL12",-0.579318566351417,8.80381379279004,2.64358968204354e-26,7.1773459867482e-24
"CEP95",-0.481811022030129,4.66603162118332,3.1475442149075e-26,8.30142304223176e-24
"MBD6",-0.51916091363011,5.74295111197127,4.04420427784632e-26,1.03700138024443e-23
"SRSF1",-0.335800921957128,6.53774562106652,4.46867166629579e-26,1.11487319328585e-23
"CSNK1E",-0.510236733726765,5.93214261970209,4.93403190832303e-26,1.19858022488763e-23
"MAPK8IP3",-0.556856068216365,6.09250744252278,5.69883202023735e-26,1.34886970202079e-23
"HPS4",-0.486915190954754,4.34746582636131,6.3046551621127e-26,1.45495679503656e-23
"MRNIP",-0.526813677854347,4.48362871413364,6.69230238977579e-26,1.50674739902489e-23
"C10orf10",-1.25446116479254,6.75827255040678,7.4598049644055e-26,1.63955856253398e-23
"NISCH",-0.505969233477207,6.33043515769297,1.11808618045394e-25,2.35683637372624e-23
"OGFR",-0.65357051575623,4.9502127678349,1.12339725321151e-25,2.35683637372624e-23
"GDI1",-0.441257032277578,6.20446374195618,1.18569574821249e-25,2.43225721149989e-23
"PTBP1",-0.577063532486557,5.72807974410555,1.39558126029901e-25,2.80056752474351e-23
"CBLB",-0.713279775320756,4.80751877197985,2.43660638945623e-25,4.78559863427031e-23
"MOB3B",-0.837603377748675,3.97428015607416,2.77949397921874e-25,5.2908026888758e-23
"GABARAPL1",-0.720546817015188,7.85607125781943,2.80846421573951e-25,5.2908026888758e-23
"DPH7",-0.416631875868543,4.14005216547503,3.11967248175274e-25,5.75953933581191e-23
"MAN2C1",-0.451262396071354,6.38592020510673,3.53748627918731e-25,6.40285016532903e-23
"MTA1",-0.373562934710832,5.40114286382878,5.07829934401838e-25,9.01495793166031e-23
"ALAS1",0.679181703117338,6.46859511308293,8.3837566621384e-25,1.46019731600377e-22
"RBM5",-0.394274581846608,6.64855519945011,9.76916572893669e-25,1.66998460821879e-22
