"genes","logFC","logCPM","PValue","FDR"
"MDFIC",-0.790778360401115,4.65737346438602,6.42333718822913e-14,2.73441891228325e-10
"GSTA4",-0.528868176402998,3.8610811357425,8.05607589760591e-14,2.73441891228325e-10
"ACTR10",-0.386035537116939,5.38902321251582,8.8866392989381e-14,2.73441891228325e-10
"SKA2",-0.621160899471077,3.14039689598163,3.57224725703875e-13,8.24385360743118e-10
"TCOF1",0.464972931396011,5.44743250309682,7.70367268644692e-13,1.42225205137183e-09
"BPHL",-0.655832818719942,3.06052767452412,1.0562695644393e-12,1.62507072488986e-09
"EMC10",-0.907294253654517,7.61146329176391,1.45783830304867e-12,1.92247219649176e-09
"MYADM",-1.14957911708215,4.99578064197319,2.56151335182912e-12,2.63106249428946e-09
"GSTK1",-0.442173696958344,6.5220512740799,2.56522180138719e-12,2.63106249428946e-09
"TET1",-1.16231743290789,1.44493684808045,3.37168504170555e-12,2.90429621329862e-09
"IFIT1",-1.23452028882278,4.11385891454559,3.46086646585255e-12,2.90429621329862e-09
"IL6R",0.890200420859557,7.21445241049948,4.7894507400712e-12,3.68428498179977e-09
"COL15A1",-1.08606410217485,6.22346273676873,5.49497260271572e-12,3.90185323812837e-09
"CLEC3B",-1.37433568572289,3.30291536519058,6.6512301485765e-12,4.05890728086156e-09
"ITPK1",0.596426057476755,5.50415739959191,7.10197740227824e-12,4.05890728086156e-09
"FAM127A",-0.635825527535773,6.77469367989027,7.15406584260722e-12,4.05890728086156e-09
"BRPF3",0.398491606114672,5.62947329152084,7.47496736806918e-12,4.05890728086156e-09
"KLHL13",-0.689074229030096,2.13328253457979,8.43606224887181e-12,4.32629392329643e-09
"NOP14",0.384549755187157,5.72242731932547,9.34918666132319e-12,4.35241691208697e-09
"PNKD",-0.478422229415305,4.6322270872886,9.43000089283278e-12,4.35241691208697e-09
"ABHD17A",-0.498734783958858,5.36616322899936,1.1464792914285e-11,5.03959539960787e-09
"PI4KA",0.315371555291813,6.20350100219991,1.29066865753048e-11,5.41552835348357e-09
"ZSCAN29",0.346197576297712,4.47151665817847,1.5023116538906e-11,6.02949516394093e-09
"LYPLAL1",-0.480440118653315,4.06630348633191,1.59458688931023e-11,6.13317982300946e-09
"HLTF",-0.577485154082474,4.2620292950593,1.87507868305822e-11,6.92354052932418e-09
"PMVK",-0.517583968360315,4.65846810636119,2.55531868035685e-11,8.90451152584992e-09
"TTC3",-0.505739053934893,6.76762896261618,2.60450450869838e-11,8.90451152584992e-09
"SMYD3",-0.476286874511773,2.93442861834752,2.87295521095938e-11,9.29911759668968e-09
"NUDT6",-0.586443229566447,1.50398017952897,2.92139974329976e-11,9.29911759668968e-09
"CYP4B1",1.3488518958352,4.25778134555588,3.56346156252854e-11,1.09647712279003e-08
"APBA1",-0.714550487801623,2.61512079514157,3.74217854146373e-11,1.11432419729844e-08
"QDPR",-0.512871075690071,5.42609041276129,4.2015945690458e-11,1.20858190943e-08
"DIAPH1",0.503575607318191,8.0864740679722,4.32057231190447e-11,1.20858190943e-08
"HMGCL",-0.438663215434132,5.31330292282535,6.94792992708661e-11,1.88636297520401e-08
"CRTC2",0.402701225512559,5.30844411319627,7.3451830000906e-11,1.93723955068104e-08
"PDCD6",0.414895106740498,4.26511428366775,7.65106078912071e-11,1.96185950401037e-08
"PSMB10",-0.992142893386732,3.43498944438652,8.08746977731718e-11,2.01771441930851e-08
"NOSIP",-0.488639011423465,5.84525528331536,8.71964413028129e-11,2.1181851307007e-08
"AIG1",-0.794365291072333,3.61441043002878,9.43796341221843e-11,2.23389333995355e-08
"AKR7A2",-0.420295098554934,5.0204084249475,1.21227197909886e-10,2.79762065976539e-08
"SYNJ1",0.339455499102644,4.21944479790896,1.32993002834436e-10,2.94188894357019e-08
"ZNF331",-0.893159123394736,4.59398501476294,1.33852600617428e-10,2.94188894357019e-08
"APLNR",-1.12475641359854,3.87906900664328,1.4117269262792e-10,3.03061657127519e-08
"SUN2",0.453234704813491,7.23135512220623,1.53227420666493e-10,3.21464163675544e-08
