"genes","logFC","logCPM","PValue","FDR"
"SPIDR",1.47508708442459,4.94960883403551,1.38493484867306e-92,1.2784333588101e-88
"ATP13A1",0.893725220570054,5.10883485126381,1.54945006706602e-79,7.15148678454321e-76
"HLTF",-1.05576925939835,4.2620292950593,7.02044456582837e-77,2.16019079290539e-73
"MCM7",0.751292617043817,5.65945872742805,3.01727703157334e-76,6.96312106961337e-73
"TMEM214",0.820584382169964,5.55482820090075,7.21445792138541e-74,1.33193322144617e-70
"ZNF598",0.774453563995168,5.20089190422904,6.88397975449251e-72,1.05910028522867e-68
"PRPF38B",0.901317556220944,5.62791753280619,4.17949169465982e-71,5.51155540477211e-68
"SIRT7",1.04500628541501,2.96824688538529,5.14956073646832e-71,5.94194939479238e-68
"ZNF558",0.715466161974977,3.79715779740204,8.00788250971731e-71,8.21341816080005e-68
"CDK9",0.846391630208686,5.08350255004998,1.31242581591902e-69,1.21150027067485e-66
"STX5",0.783149585525823,4.45174782217032,1.96667731681158e-69,1.65039984649888e-66
"GALNT15",1.85132059696291,5.78264108271759,5.12334258791582e-68,3.94113128575424e-65
"EDEM1",0.870669155931515,4.16782260726247,1.00567190531478e-67,7.14104412150825e-65
"DENR",-0.575620643898684,5.75032798075241,4.15927843899974e-67,2.74244994788618e-64
"TRAK1",-0.987992189825496,7.65262910092487,4.49507785653458e-67,2.76627091291138e-64
"SCP2",-0.83386104786848,6.53338382864427,6.54167937951089e-67,3.77414014701656e-64
"HGS",0.748177958984684,5.95193281444164,6.98042255143955e-67,3.79036944543167e-64
"SIRT3",-0.77950638645788,4.87484801904974,1.2102307137529e-66,6.20646651036281e-64
"HIBCH",-1.04867334588892,4.90010525002093,2.22058349731959e-66,1.07885296125037e-63
"PAXBP1",0.647986347248199,4.8539830698277,8.90009932307669e-66,4.10784084256605e-63
"SF3B2",0.662284968191944,6.88428436784963,1.60273683579082e-65,7.04517320532622e-63
"NREP",-1.79902336436598,4.87119671983361,2.66502526429025e-64,1.11822037339379e-61
"C17orf75",-0.656372671081281,3.8038940383647,2.9087809185254e-64,1.16743289821339e-61
"STAT5A",1.14378089410485,5.33839538495811,2.62701982706587e-63,1.01041750098521e-60
"BPHL",-1.00392914755603,3.06052767452412,5.06055098842761e-63,1.86855784696701e-60
"MRPL16",-0.687965376016809,5.20241977912853,5.3679122463504e-63,1.90581530561771e-60
"RTN4",-0.957287966269982,8.94379472200338,7.13567006479612e-63,2.43960630993085e-60
"TFDP1",-0.74330697776118,5.65193745219765,9.55599827059334e-63,3.15040785842311e-60
"ANP32B",0.946027884910967,5.94604524202311,1.55759446683609e-62,4.95798431840137e-60
"FAM134A",0.749649296456794,5.15753076446421,2.23442943673948e-62,6.87533937684739e-60
"EML1",-1.03970471391299,4.94356910806613,4.79331928473679e-62,1.42732678443243e-59
"ODF2",1.18198754655947,3.72481066445046,1.34146159867368e-61,3.86969750542398e-59
"DDRGK1",0.792330688632598,5.08022706320013,2.47254763849857e-61,6.91639007605464e-59
"COQ7",-0.711876886203691,4.94829618873388,2.65148035746537e-61,7.19876917051847e-59
"PTPA",-0.919113350450667,7.01074873774183,3.60526129377151e-61,9.50861914365851e-59
"QDPR",-0.842483149895066,5.42609041276129,3.94914752373483e-61,1.01262724421101e-58
"RGS3",-1.4726265058372,5.10153455190051,5.19362152483481e-61,1.29573838637163e-58
"IBTK",-0.912801833490678,6.44421282321891,6.32525088518559e-61,1.53653660318811e-58
"CBLB",1.15404086752942,4.80750891261728,8.2532879528437e-61,1.9534897716077e-58
"TEPSIN",0.846775932427492,3.04512844249684,2.2905399410366e-59,5.2859935489272e-57
"HEXB",0.849975331759982,4.91411064123285,3.28073187285951e-59,7.38644778496736e-57
"PABPC1",1.23463230068851,7.35873085377324,3.82483399094114e-59,8.25562585433994e-57
"PSMG2",0.671571372201062,4.49345560006841,3.84564956924079e-59,8.25562585433994e-57
"MGST3",-0.988874726899452,6.9907109077868,4.14902131091854e-59,8.70445811842933e-57
"NLRX1",-0.815665717986861,5.15250556779161,8.68918732087134e-59,1.78244195908807e-56
"BAZ2A",0.621071639527455,6.6425052737729,8.89033997555838e-59,1.78405931118216e-56
"LEMD2",0.587462228133734,5.00538338426711,1.350290611848e-58,2.65202822084444e-56
"SUOX",-0.805643217021281,4.99257689541812,1.17208392215699e-57,2.25406389279816e-55
"CTNNBIP1",-1.04695561521224,4.15097468899149,1.80228379346278e-57,3.39528197907243e-55
"GSTK1",-0.659116577502431,6.5220512740799,2.88267661493965e-57,5.32199756650158e-55
"COQ6",-0.771294916462883,3.8961382843074,4.06236443126692e-57,7.35287962059312e-55
"NUDT6",-0.901996005895317,1.50398017952897,4.17162923739038e-57,7.40544413275973e-55
"SDHC",-0.947026951863206,7.22087494581285,5.34087951513265e-57,9.21919897580965e-55
"FASTK",-0.804433584218761,6.89926290729634,5.39309657343431e-57,9.21919897580965e-55
"FAM217B",-1.09604642716043,4.45957057377912,5.64869106220572e-57,9.48055767185837e-55
"DLD",-1.07431368480613,7.6673731786027,6.56001674198501e-57,1.08134847402257e-54
"CRTC2",0.642432351518668,5.30844411319627,2.63556965762196e-56,4.26823570342251e-54
"ALDH5A1",-1.25961480458164,6.04670880276416,2.74044860123202e-56,4.3615656962022e-54
"DDX39A",0.947545039038153,4.23065375035039,3.2470492335152e-56,5.08025618213201e-54
"TMEM108",-1.46563314535482,3.59899360017123,4.36576564483667e-56,6.71673044458121e-54
"COX18",-0.651716655144029,3.48885084847947,4.9922998434667e-56,7.55474095984281e-54
"GSTA4",-0.722460247950074,3.8610811357425,8.01146998466182e-56,1.19280450690989e-53
"ACADM",-1.52762846872615,7.82649136123066,1.00291284741054e-55,1.46950611022964e-53
"C9orf3",-0.995947256404377,6.41745346060971,1.52537707559337e-55,2.20011809137537e-53
