"genes","logFC","logCPM","PValue","FDR"
"SATB2",1.48761690274682,2.71024292272849,1.91942141751812e-14,1.77181791051098e-10
"FOXP2",-1.10670366549781,3.50730408267546,1.61073568445722e-11,5.61574258668401e-08
"TET1",1.50655611315711,1.44492504173379,1.89162952908992e-11,5.61574258668401e-08
"MCL1",-0.624811655172656,8.1054333610038,2.43342761853928e-11,5.61574258668401e-08
"MOB2",-0.590798491007965,4.83948908234875,4.09413628449883e-11,7.55859440844173e-08
"KRT10",1.55546008550302,4.42900530939211,1.02874684472289e-10,1.58272702060617e-07
"USE1",-0.627731586358092,4.24299542420526,2.22490662081246e-10,2.93401614524569e-07
"PES1",-0.694826361649423,5.34904527328445,5.57454173835038e-10,6.43232434833904e-07
"CEBPD",-1.58836637258047,6.41792702602869,1.00125578465785e-09,1.02695468313073e-06
"SF3A3",1.10237029991934,6.41169608553828,1.83240279627777e-09,1.69149102124401e-06
"ABTB1",-0.684974065435124,5.61843379808506,2.34994363842045e-09,1.97202997511447e-06
"CYB561D1",0.882417802708397,3.75300598115952,4.61087632083761e-09,3.54691660980434e-06
"PIK3IP1",-1.17212263625959,4.70592784814156,8.51044965539091e-09,6.04307390530104e-06
"SCD",-3.42197943095169,5.27836608847396,1.27717071014127e-08,8.42111630379577e-06
"ATP6V0A1",-0.524467238779828,7.03448231486421,1.44101503643654e-08,8.86800653423049e-06
"VPS26B",0.411091112094124,4.98367227318405,1.59157239014648e-08,9.18237795840134e-06
"ATXN7L2",1.05043817928449,5.30854572300298,1.72018532337131e-08,9.34060630590623e-06
"SORBS3",-0.797051361062928,6.30266648909805,1.96153259303054e-08,1.00593929812583e-05
"FAM120C",0.531138685105029,3.28724288891339,2.34456832087246e-08,1.13909000894598e-05
"HSPBAP1",-0.660865746275272,4.65563716554687,2.8788179828731e-08,1.27983364188922e-05
"INPP5K",-0.432020553445946,5.61047655723269,2.91154874657932e-08,1.27983364188922e-05
"SAP130",0.401163841469454,4.51533641820671,3.43841576910912e-08,1.44272799839301e-05
"CDK11B",-0.52501293656641,5.80261486068984,4.13481971376294e-08,1.65783173321742e-05
"NR1D1",-1.20686532178613,6.4666679305202,4.31025474999654e-08,1.65783173321742e-05
"CREBRF",-0.634664158310044,5.03594382752503,4.49689681683052e-08,1.6604341806465e-05
"TGFBR1",0.561576435753838,4.82048208604592,4.71238296324468e-08,1.67307719745045e-05
"EIF4EBP1",-1.00290316735482,5.11830496225711,5.00995100590672e-08,1.71284658279722e-05
"CDC42BPB",0.496946596715658,6.45015096187044,5.47033938057722e-08,1.80345367221815e-05
"AIG1",0.893888191410076,3.61441143652257,6.27750514671324e-08,1.99819482790724e-05
"ZFHX2",1.19946491997776,1.30840406091581,7.22935796271127e-08,2.14951351786616e-05
"ASXL1",-0.464468613333417,6.45529621136098,7.31050818774176e-08,2.14951351786616e-05
"AP3M2",0.5971332801466,3.79316095864419,7.45146057542162e-08,2.14951351786616e-05
"RCBTB1",0.678376362049441,4.09090462726788,8.35618690658845e-08,2.33745337377933e-05
"KLHL21",-0.75484833006283,8.04220144023764,9.13980628322935e-08,2.41502822849811e-05
"NTRK3",-1.72535849811877,2.66837785605155,9.15675311422747e-08,2.41502822849811e-05
"DGKG",-0.944219708785345,2.7196855813582,1.12103949824429e-07,2.87453211341474e-05
"CACNA1A",-1.60449903960287,0.662289475066373,1.20984735858797e-07,3.01840566679069e-05
"FAM160B1",-0.415859431510597,5.52502388391372,1.70104647066861e-07,4.13219999230052e-05
"KIAA1456",-1.18671497316765,2.53972518884316,1.84686052264434e-07,4.37137679090511e-05
"PTPRD",1.69042607000737,2.74406619884683,2.22434614051351e-07,5.13323480577004e-05
"PFKFB3",-1.63954567706812,9.21081115251149,2.58608430518436e-07,5.82247420028216e-05
"RPS16",-0.702406020534242,8.86793342707892,2.79741474474644e-07,6.13143307053347e-05
"TBX2",-1.04200918795377,4.04779921424573,2.85615450149431e-07,6.13143307053347e-05
