"genes","logFC","logCPM","PValue","FDR"
"CD3EAP",-1.41958164403154,2.25448587139206,2.80930086615008e-23,2.07030394571798e-19
"EIF5B",-1.32296896440795,7.85418263595911,4.48554641039536e-23,2.07030394571798e-19
"MORC2",-0.664964636967718,5.42987305831559,9.93204606074893e-22,3.05609057289245e-18
"ATP6V0A1",-0.909568443888344,7.03448162947403,3.88331801831831e-21,8.96172715677408e-18
"TAF3",-1.18108189784207,4.66026921450989,7.7781272313395e-21,1.4359978494499e-17
"ILF3",-0.52025128198271,7.73501411111269,6.60909177558385e-20,1.01680876967358e-16
"POLR3E",-0.721960573249907,6.3588049248149,1.11809732048206e-19,1.47445090933856e-16
"TJAP1",-0.62201189959031,5.71297105620091,1.36266706946046e-18,1.54592294776486e-15
"RNPS1",-0.546894779783863,7.18668638514509,1.50723719314091e-18,1.54592294776486e-15
"SSRP1",-0.718415838525888,6.69474070190768,1.10410601557684e-17,1.01920026297898e-14
"EXOC3",-0.596807219882375,6.60948780234822,2.12469374797321e-17,1.7830043625037e-14
"DHX16",-0.55923610473743,5.78096640201293,4.26222086497776e-17,3.27871340038414e-14
"EFTUD2",-0.503073604787652,6.50040750352835,5.42383020744106e-17,3.85133666499142e-14
"NOP14",-0.708568429230172,5.72242643833685,7.68954329573825e-17,4.84590393877144e-14
"NOC2L",-0.620496537972535,6.35114762814168,7.87439704057757e-17,4.84590393877144e-14
"NFX1",-0.515230207704973,6.29367295834556,4.27061304598816e-16,2.4638768142198e-13
"ULK1",-0.95682630977119,7.28043701049293,7.53813830596234e-16,4.09320910013755e-13
"MAP2K7",-0.705675913824165,6.07741617051009,9.99149985969548e-16,5.12397417804717e-13
"DAZAP1",-0.621098107952157,6.32645469276905,1.24291535747925e-15,6.03860613941631e-13
"EPS15L1",-0.872537496399889,6.7032018129501,1.32333013758404e-15,6.10783025001916e-13
"ZZEF1",-0.621142683390773,6.9643732972166,1.9489806215407e-15,8.56716196068677e-13
"XPO5",-0.659551068457759,4.84893810741757,2.68742159764853e-15,1.07501700023681e-12
"KDM7A",-0.817602399194874,6.45842622243246,2.78597747531269e-15,1.07501700023681e-12
"RSL1D1",-0.70665471953167,7.68950753614477,2.79497432625754e-15,1.07501700023681e-12
"DDX46",-0.789935820958604,6.43806387774745,3.23028196773365e-15,1.19274931376597e-12
"SAFB",-0.609303340289049,6.68527063852383,3.54991132559731e-15,1.26035505563803e-12
"POLRMT",-0.816023787613659,6.39757651174506,4.25806045883915e-15,1.45578355909423e-12
"ZNF598",-0.783419932482985,5.20089068833436,4.96991030041653e-15,1.63847292796947e-12
"VARS",-0.753928827701476,6.51609112780588,6.08873692255279e-15,1.93810794938223e-12
"KDM1A",-0.407452957773411,6.05643668713309,6.77749187628997e-15,2.08543425033442e-12
"SBF1",-0.614382881456288,7.42400074598916,7.37333912433485e-15,2.19559011150758e-12
"NEURL4",-0.607978206453749,5.69007355297365,9.77910744847541e-15,2.73831055273225e-12
"ELP2",-0.567746766253555,6.13945547173931,9.7892154956304e-15,2.73831055273225e-12
"ASPSCR1",-0.866610885665919,5.2471141953674,1.03445970812206e-14,2.80855810755138e-12
"CDK11B",-0.776225518715789,5.80261203568835,1.11477137137554e-14,2.94012986547646e-12
"SETD6",-0.578102170316424,4.15926676959914,1.4214931143631e-14,3.64494526074605e-12
"RBM19",-0.61933237723794,5.1152470775485,1.60589415795971e-14,3.95866787113263e-12
"RTF1",-0.744041571750372,6.55566195131292,1.62961086667793e-14,3.95866787113263e-12
"PPM1G",-0.622277042135224,6.46661828379282,1.85709938884402e-14,4.39561139959466e-12
"GAA",-0.722369685741585,6.18213627842691,2.04330012334721e-14,4.63361082938545e-12
"INTS1",-0.691483834560818,7.36855070407131,2.05804402561806e-14,4.63361082938545e-12
"ESF1",-1.0221470147169,4.52770882579756,2.34158317094143e-14,5.1464652978477e-12
"ILKAP",-0.542211731333579,5.006811870212,2.47688997171148e-14,5.31724914624853e-12
"SECISBP2",-0.587715567838972,6.1535943254159,2.98263362679422e-14,6.25742977475852e-12
"CC2D1B",-0.551222312887122,5.5885644631594,3.80421382722985e-14,7.69797714109762e-12
"RAB40C",-1.0108900378579,4.60161387530881,3.83606270707931e-14,7.69797714109762e-12
"CSPP1",-1.1525230190041,4.90231069731649,5.44161305968996e-14,1.06875596072336e-11
"AUP1",-0.59378660922487,6.18860021292764,5.89202748441933e-14,1.13311053559739e-11
"AIG1",1.32240953684669,3.61440971534398,6.38282575551265e-14,1.20244621528852e-11
"SUPT6H",-0.539880382847656,7.31380411475829,6.8684740165849e-14,1.2680576729419e-11
"BAP1",-0.42267996969736,6.49751509866103,7.34153542674045e-14,1.32881791224002e-11
"IL6R",-1.52547121094016,7.21445226214931,7.72866037876292e-14,1.37198584531462e-11
"EEF1D",-0.829964379326782,7.42541029940275,8.26522998735891e-14,1.43955354742094e-11
"GLYR1",-0.520143688282566,6.48096361714918,8.85641191774957e-14,1.51395441505086e-11
"SUPT5H",-0.517334813715209,6.96225760991506,9.04137515369146e-14,1.51747152806774e-11
"TUBGCP4",-0.613549360779821,4.37040437901165,9.2868666071524e-14,1.53084045804685e-11
"TBL3",-0.650729286239748,5.44193488066659,9.96423812444593e-14,1.61368214257474e-11
"EIF3B",-0.605334980239676,7.59740480095874,1.16210370496867e-13,1.78596788136634e-11
"PSMC5",-0.623179926968766,7.18228925096885,1.16333989217971e-13,1.78596788136634e-11
"PICK1",-0.730874082233728,4.87832142684504,1.18335728219318e-13,1.78596788136634e-11
"SPPL2B",-0.97582236641014,5.42208497894892,1.18988092078621e-13,1.78596788136634e-11
"SLC7A6",-1.26099273965395,6.46816746743437,1.19954510502343e-13,1.78596788136634e-11
"DUS1L",-0.653488468600997,6.33785463392802,1.24715604996971e-13,1.81374715242169e-11
"GRK3",2.67579694149198,2.63258252902564,1.25749992151433e-13,1.81374715242169e-11
"EIF4ENIF1",-0.416566687864146,4.96295933866868,1.34799685761449e-13,1.91436292194451e-11
"BAG6",-0.516065571377309,8.21847222351988,1.39653158895043e-13,1.95323986327294e-11
"CYB5A",1.81760627151658,3.60315507427634,1.53587767976744e-13,2.08220838101762e-11
"POMT2",-0.963025446456852,5.1661416661003,1.55187271725726e-13,2.08220838101762e-11
"PSMD1",-0.754740256616763,7.67865852990437,1.55641185451431e-13,2.08220838101762e-11
"SYMPK",-0.624400979764254,6.38082514524112,1.59752968508259e-13,2.10668521757106e-11
"KDM4B",-0.625304723562951,6.34603242889893,2.0010260555551e-13,2.60161570687734e-11
