"genes","logFC","logCPM","PValue","FDR"
"SPIDR",1.44498325528687,4.94960562055256,4.96064346697226e-84,4.57916998436209e-80
"ATP13A1",0.870181196256958,5.10883129954701,1.90240232200829e-72,8.78053791722926e-69
"HLTF",-1.01664532402854,4.26203118955089,9.63349245358473e-71,2.96422562796802e-67
"MCM7",0.72983632551119,5.65946012286062,1.47843704841706e-70,3.41186309848448e-67
"SIRT7",1.0380668518293,2.9682363878118,2.35438968844405e-67,4.34667424280541e-64
"TMEM214",0.795153450490327,5.55482896993925,1.34655041670536e-66,2.0716678161012e-63
"ZNF558",0.705355034666946,3.79715221003935,8.40223447098171e-66,1.10801466288046e-62
"ZNF598",0.755574764599366,5.20089359857991,1.4329400465019e-65,1.65343369615737e-62
"CDK9",0.826078388588932,5.08350154892046,3.95901714845852e-64,4.06063192193562e-61
"EDEM1",0.855827345224876,4.16781746658372,2.83775759674002e-63,2.61953403755072e-60
"PRPF38B",0.867272828353765,5.62791735846422,5.64060323835101e-63,4.73349168120165e-60
"TRAK1",-0.955632960870657,7.65263128903612,5.79003268178124e-62,4.45398264046022e-59
"STX5",0.748718405024179,4.45174621894565,1.71209236156221e-61,1.2157172761216e-58
"SIRT3",-0.753204758614903,4.87485068315226,2.18192551696779e-61,1.43866817479498e-58
"DENR",-0.554903092003391,5.75033189215136,2.79294402397275e-61,1.71877775235283e-58
"HGS",0.724420092537915,5.95193206083566,5.34335103707693e-61,3.08277958895357e-58
"HIBCH",-1.01301761175148,4.90010618731136,6.28933624335173e-61,3.41510958013999e-58
"SCP2",-0.801415101920375,6.53338693991968,7.48137560206641e-61,3.83669878792639e-58
"PAXBP1",0.634832964357326,4.85398144724583,1.71528109467087e-60,8.33355778152991e-58
"FAM134A",0.74880964483411,5.157529505743,2.08024189376749e-60,9.60135646068385e-58
"SF3B2",0.648977041824118,6.88428574801256,4.15304085514157e-60,1.82555810161009e-57
"NREP",-1.74474922655637,4.87119858939744,6.18164179521048e-60,2.59376070052673e-57
"GALNT15",1.78443653194346,5.78263669345488,1.04987731666384e-59,4.21365978701041e-57
"C17orf75",-0.630688502178667,3.80389652842701,2.16056573444961e-59,8.31007595612683e-57
"RTN4",-0.938873289415116,8.9437957734736,3.06795113777726e-59,1.13281027811288e-56
"BPHL",-0.983171978500457,3.06052389834242,4.57854323884059e-59,1.62555894760529e-56
"TFDP1",-0.728540427848479,5.65194161811524,7.33990003604475e-59,2.50943026787886e-56
"MRPL16",-0.668070939544552,5.20242455419091,1.69132704138394e-58,5.57594282821968e-56
"QDPR",-0.831167839149812,5.42609445377934,7.5185781850458e-58,2.3932412146951e-55
"EML1",-1.0102566093392,4.943572096732,1.02809094236984e-57,3.16343582967199e-55
"MGST3",-0.978928105915195,6.99071314594093,1.46138812583747e-57,4.35163670632442e-55
"COQ7",-0.685552081333709,4.94830052380303,6.92179705096421e-57,1.99672214304533e-54
"RGS3",-1.42173320780389,5.10153469896917,1.04802940493852e-56,2.93162407181438e-54
"TEPSIN",0.831165293285429,3.04512080484116,2.71292757380207e-56,7.36559836287262e-54
"STAT5A",1.10183212790404,5.33839278707146,3.31376370573002e-56,8.73981507645537e-54
"IBTK",-0.876390083318285,6.44421645671598,3.88085711506073e-56,9.95116445253488e-54
"PTPA",-0.887436418271707,7.01075097415091,4.34116738593569e-56,1.08306259836682e-53
"ODF2",1.14981815923489,3.72480228758587,9.38325817212694e-56,2.27939095228694e-53
"CBLB",1.1206609819302,4.80750423283179,1.40692787583356e-55,3.33009005687681e-53
"DDRGK1",0.768328728601228,5.08022800223024,2.44337427148442e-55,5.63869697501816e-53
"ANP32B",0.895323589632546,5.94604692290121,4.29654952650611e-54,9.67352406809216e-52
"SUOX",-0.774336847618712,4.99257860950387,6.22792434129026e-54,1.36880879986787e-51
"LEMD2",0.5694547277192,5.00538322144619,1.16976077575641e-53,2.51117714442033e-51
"TMEM108",-1.43761920359409,3.59899207713263,1.30217119709645e-53,2.73189598190849e-51
"MYH7B",-2.02614740163123,7.61908651298647,1.92109078803978e-53,3.94079756986561e-51
"NLRX1",-0.784325421937743,5.15250791535172,2.05137184827265e-53,4.11656815900105e-51
"GSTK1",-0.638341383232001,6.52205358343281,2.24309701356815e-53,4.40553798558459e-51
"AAMDC",-1.45343689163572,5.10200550937799,5.15257973366543e-53,9.90905490030533e-51
"FASTK",-0.785497895861517,6.89926562198079,5.360734112402e-53,1.00989666513434e-50
"BAZ2A",0.597707057568895,6.6425050074244,5.59087168198144e-53,1.03218672992741e-50
"FAM217B",-1.06481655043099,4.4595745353076,8.72597760893735e-53,1.57940194721766e-50
"GSTA4",-0.712711742369777,3.86108394668744,9.53053497810937e-53,1.69185323813322e-50
"PSMG2",0.640117096176836,4.49345733110851,1.29415631781665e-52,2.25402961693689e-50
"CTNNBIP1",-1.00869783157621,4.15097912097399,1.65554429521543e-52,2.8300609979877e-50
"PABPC1",1.18251688500517,7.35873123874163,3.08196803646218e-52,5.17266308083316e-50
"PPA2",-0.704046868201792,4.96186526229154,3.70114540651677e-52,6.10094165134934e-50
"ACADM",-1.47930571453176,7.8264939610754,3.8715492457777e-52,6.2698721206621e-50
"ALDH5A1",-1.20697496038977,6.04671191652048,4.87925271207685e-52,7.76558306641059e-50
"HEXB",0.812460665044982,4.91410971649533,5.33897569364747e-52,8.31823229663586e-50
"COQ6",-0.739996720412229,3.89614079413087,5.40671582491768e-52,8.31823229663586e-50
"NUDT6",-0.866671519084289,1.50397700157029,6.28015150079355e-52,9.5036194268566e-50
"C9orf3",-0.972771175985826,6.41745692282383,7.88996963040142e-52,1.17471467190702e-49
"DDX39A",0.918238627155701,4.23065044789875,8.31916886660408e-52,1.2189563144067e-49
"ANKH",-0.782255025269165,6.86452349246342,9.61640121934163e-52,1.38701561962098e-49
