"genes","logFC","logCPM","PValue","FDR"
"KRT10",2.95648247523732,4.25335838072449,1.55953568031761e-28,1.43960738650119e-24
"FAM220A",-2.2446362884152,5.88377897076752,4.95069332538118e-25,2.28499250432968e-21
"SATB2",1.69960555572691,2.57796509832546,1.11541858556102e-22,3.43214298777127e-19
"ALDOA",-2.08596335336502,12.6295536545173,6.77680681987302e-21,1.5639175938562e-17
"PKP2",2.20318041516541,3.59266877876818,1.02533568243775e-19,1.89297473691658e-16
"ST6GALNAC6",-1.37180583484656,5.50313516036504,5.64475904690865e-19,8.68446179366896e-16
"RCBTB1",0.863211988077879,3.9993722236573,7.41370498557475e-16,9.77655867454865e-13
"SLC39A1",-1.32062721425313,5.03750721274716,1.57378930901347e-15,1.81595613893792e-12
"CEBPD",-2.03102661107525,6.61836575903036,1.75082785107696e-14,1.79576576592127e-11
"CDNF",-0.959918277315141,3.62745678010364,3.61176653669247e-12,3.33402169002082e-09
"MOB2",-0.566243742662924,4.74590707386548,5.11456792052372e-12,4.2920524067595e-09
"SF3A3",1.39385721377802,6.2722034868091,1.8330670845528e-11,1.41008685479224e-08
"NR1D1",-1.42995030282451,6.49788438664322,2.25801331095527e-11,1.60336314410985e-08
"SUPT4H1",-0.878227021433521,4.77312727980703,7.40148288382993e-11,4.88022060718815e-08
"PFKFB3",-2.16415571280954,9.68476015611792,1.3437091885329e-10,8.26918634623149e-08
"EIF4A1",-1.18693380383156,7.23532286568808,2.27129834986795e-10,1.31039719172694e-07
"ZFP36",-1.67160819109665,7.54757532201644,2.88929445312935e-10,1.56888688804924e-07
"OSGIN2",0.900049671344448,4.54461582553794,3.73706894309494e-10,1.91649352298386e-07
"PER1",-1.02820687912776,8.47595378884539,8.94142130750504e-10,4.34411895208311e-07
"PREPL",0.861437593154758,6.20263616725098,6.35431484156814e-09,2.93283401512577e-06
"FAM120C",0.508468151373342,3.20141370914653,9.03314433476112e-09,3.97071215972285e-06
"SH3BGR",-1.12219649732486,7.77441462627736,9.78543187444437e-09,3.99384044868167e-06
"ABTB1",-0.651734400706095,5.54257527690394,9.95107034120664e-09,3.99384044868167e-06
"ZNF703",0.985781844325363,7.17349225568201,1.0652058084264e-08,4.09704784066003e-06
"FASN",-2.11571646624219,6.78359532585853,1.15773846734058e-08,4.13760988483677e-06
"GRASP",-1.00979552512149,3.66246837080048,1.16539764928779e-08,4.13760988483677e-06
"FXYD1",-0.745908084715954,7.1547403784447,1.75802549150184e-08,5.77650802204343e-06
"DHPS",-0.611319002130668,5.52498443847247,1.76364361699438e-08,5.77650802204343e-06
"SGSM3",-0.573118975971282,5.09824781954895,1.8147409017361e-08,5.77650802204343e-06
"EIF4EBP1",-1.25520141176406,5.16751373340126,1.95876386140081e-08,6.02711640153029e-06
"HERC3",-0.698830574593498,5.02702838633547,2.11556953571727e-08,6.29962012393747e-06
"RNF31",-0.641339241190545,5.67082584885773,2.29565437494704e-08,6.62224547973003e-06
"DGKG",-1.00477999846335,2.57909895602864,3.4696704360255e-08,9.70561448331861e-06
"IGF2BP2",-1.11459724080862,1.77431729916751,4.6892000420449e-08,1.27311781141519e-05
"CAPZB",-0.322548610980548,7.55206051114116,7.27091703023178e-08,1.91765243160199e-05
"RCAN2",1.18027694428831,6.7253259056298,9.06131936057847e-08,2.32347330604166e-05
"GPX3",-1.08098895497974,8.83079711593319,1.37318715679208e-07,3.42591639036424e-05
"PIK3IP1",-1.10530958378741,4.57614590971986,1.94460400599499e-07,4.72385252087888e-05
"JUNB",-1.35935342015446,6.60173871370425,2.19453862755736e-07,5.19430412076462e-05
"MCL1",-0.538666585522306,8.0070472092822,2.47509291045248e-07,5.67852696179008e-05
"AACS",-0.758991777924259,3.4025788473389,2.52214933846163e-07,5.67852696179008e-05
"FOXP2",-0.983484191757986,3.47453409258923,2.67407742468486e-07,5.87724016839665e-05
"CNNM3",-0.656021554018583,4.5658971542116,2.89867738351479e-07,6.11181592256691e-05
"APOD",-1.17475535139756,8.82403022312664,2.91322609243792e-07,6.11181592256691e-05
"NTRK3",-1.54692092602906,2.64345359650718,3.10278634682545e-07,6.36484905945461e-05
"ERCC5",-0.556194550859442,1.97191897223378,3.20583736689054e-07,6.43327928994925e-05
"ARHGAP5",0.533307974731129,6.01517832817583,3.42043706428163e-07,6.7178839447625e-05
"SPATS2",0.512976070832638,3.97451656503129,4.05828755206131e-07,7.8045942485579e-05
"CDC42BPB",0.390262938985872,6.34787930259925,4.27876793234037e-07,8.02972449736083e-05
"KLHL21",-0.80115911639999,8.11181383505953,4.34932536960288e-07,8.02972449736083e-05
"GFRA1",-0.77436685530082,4.49488754879385,4.83249640180144e-07,8.74681848726061e-05
"TRIM63",-1.36574070799978,10.0691567343186,5.78903102552656e-07,0.000102766433455069
"PRKACA",0.518782934956197,8.16951346751189,5.99929683874352e-07,0.000104489639846116
"DCAF8",-0.409179690787248,7.82640471499373,6.53936043186516e-07,0.000111786733604717
"CLMN",-0.723130747159934,4.59173960303449,7.02407138662136e-07,0.000117889459945276
"GLRX",-1.22906800661728,7.59051254843104,1.22208869366483e-06,0.000201448227343215
