"genes","logFC","logCPM","PValue","FDR"
"LGMN",1.36801467510838,5.6188483600457,5.76295985843322e-30,5.3197882453197e-26
"CTSZ",1.24811441389056,5.41023624202598,3.28187938745847e-26,1.09408373721812e-22
"CD81",1.55568995632859,6.91892175556532,3.55568325387755e-26,1.09408373721812e-22
"CORO7",1.76485291181662,3.10015778510193,5.99808917788878e-26,1.38420903002728e-22
"EMP3",2.70353295719895,3.02064630119129,1.06530121000601e-25,1.51639911616357e-22
"CMTM3",2.44703704527077,2.97736902853515,1.11144620416157e-25,1.51639911616357e-22
"CD276",2.12510201794653,3.76650901272509,1.14990724874282e-25,1.51639911616357e-22
"ADAMTS2",3.88003580087554,3.42422641734149,3.46770677349243e-25,3.90777065481631e-22
"CLIC1",2.23806793606786,4.75295671040696,3.80998113891743e-25,3.90777065481631e-22
"C17orf62",1.57798342260043,3.85480690570641,9.64450898196731e-25,8.56064515474464e-22
"CNPY3",1.54851036990073,3.17621404735709,1.02011804465595e-24,8.56064515474464e-22
"C1R",2.91245298465828,6.28862769175884,2.7704702349659e-24,2.12816595768393e-21
"UNC93B1",2.06357919597836,2.29675626719214,2.99709212976829e-24,2.12816595768393e-21
"ECM1",2.43748716987402,3.35759521814754,3.84793118134804e-24,2.53716090964456e-21
"GRN",1.15373668469993,5.89114076969143,4.15498404853394e-24,2.55697718346779e-21
"VIM",2.72673389242579,8.13115359326702,9.59405293839433e-24,5.53516891714488e-21
"EMILIN2",3.21966957256912,2.4107604143693,1.11217645016896e-23,6.03911812441748e-21
"ARHGEF1",1.28226055069032,5.02900965862855,1.52400078958736e-23,7.81558404926717e-21
"PTPRA",1.07619568891247,4.74424431855953,1.87761801592692e-23,9.12225889737969e-21
"GLIPR2",2.35126023632088,3.03378108506671,2.95974984402332e-23,1.36607254050896e-20
"CALHM2",1.96865085097425,3.26703366453229,3.50338804396387e-23,1.53998928732526e-20
"C1S",2.28349907647402,6.97855940644288,4.0572580833606e-23,1.70238860761371e-20
"DDAH2",2.30344518840825,3.80372194234569,5.31232265464062e-23,2.1320891489125e-20
"SH3BGRL3",1.81964822128325,4.15702228482479,5.79766403324355e-23,2.2299265287863e-20
"VAT1",1.72742468599111,5.33224672281038,1.81220665624203e-22,6.59385725007158e-20
"DNM1",2.88748235482144,3.39969068471255,1.85722336151946e-22,6.59385725007158e-20
"MMP14",2.6830838800527,5.06885876600286,1.97824408246126e-22,6.763396713037e-20
"EFHD2",2.02524246879022,3.16058930138,2.23792550332558e-22,7.28188915650751e-20
"PLTP",3.32473739892456,4.44898571515778,2.28766965159482e-22,7.28188915650751e-20
"SRPX2",2.73681420124306,3.15048810526925,2.84336108383392e-22,8.74902205495698e-20
"PLAC9",2.75643061281014,3.26807822572325,4.12438318743373e-22,1.22813487752261e-19
"ANKRD13D",1.59827183473237,3.05383139522344,4.89083240347568e-22,1.41085230989013e-19
"MGST1",4.21560703645393,3.65568373262162,7.08708990761605e-22,1.98245233143042e-19
"ARHGAP1",1.39489150321993,5.46524048010315,8.88649118645739e-22,2.41268235712318e-19
"ARRB2",1.5303556589997,3.4916485051881,1.03229522501146e-21,2.72260492059452e-19
"PLOD3",1.23172066347994,4.0646828567676,1.14927433259873e-21,2.94693093450523e-19
"CLSTN3",2.17904797413777,3.16107397039742,1.76078630568875e-21,4.39292388859807e-19
"MAN2B2",1.64720508149155,3.72017307449748,2.04292217109381e-21,4.96268804246499e-19
"RCN3",2.24422964754714,3.17337387132086,2.52055062254429e-21,5.96594943505292e-19
"RAB5C",1.14785214062128,4.71968233418414,3.22557797507734e-21,7.16585428362184e-19
"FKBP10",2.16694546541154,3.79068156714357,3.25174598168378e-21,7.16585428362184e-19
"ARPC5",1.46570365065159,4.2118303516315,3.30106401001007e-21,7.16585428362184e-19
"TMSB10",2.06787139535237,6.41420699697221,3.33801033686209e-21,7.16585428362184e-19
"MFSD10",1.37279242669161,4.03217432440342,4.91207806677841e-21,1.03053165078253e-18
"CDKN1A",4.0056359444141,7.46636907105352,7.60026105716028e-21,1.55906688485881e-18
"EPB41L3",2.15566137007507,4.4058171142894,7.86843495151913e-21,1.57898963124941e-18
"FMNL1",2.02951452390732,3.08349356260875,1.01797921058313e-20,1.99935448784955e-18
"FERMT3",1.86971853701904,2.59487301792993,1.09076160329964e-20,2.09767090834562e-18
"ARHGAP4",1.93622766440887,3.12739805407206,1.12487716319617e-20,2.11913083540079e-18
"LILRB5",3.07749728517583,2.73999443265206,1.17063145029831e-20,2.16121978354074e-18
"TMSB4X",1.83357880563764,7.56052496024045,1.22593749164305e-20,2.21894685987392e-18
"TTC7A",1.68287471998742,3.84383553610999,1.40503913700024e-20,2.49421466800946e-18
"PPIB",1.8377085932137,4.31800247406588,1.47229089177231e-20,2.56428626829249e-18
"OSTF1",1.32482945062902,2.70709348723463,2.3560599120109e-20,4.0275535273653e-18
"TCIRG1",1.66262456967062,4.2126352322077,2.42828987350918e-20,4.07555342224786e-18
"GNAI2",1.11917714456352,6.41987011874534,2.76092705686731e-20,4.55109243963252e-18
"CD248",2.87945875768942,4.6626881183738,2.97066024426181e-20,4.81090609031241e-18
"CORO1C",1.17962441146499,5.76788789035388,3.25476232854811e-20,5.18012259565993e-18
"LPIN2",1.35404194152893,3.1539887549155,3.75275568841449e-20,5.87147250165325e-18
"NECAP2",1.2524287742947,3.35862162995549,4.01887617657745e-20,6.16686246362161e-18
"PGLS",1.45338058491942,2.97433252901756,4.07516639888331e-20,6.16686246362161e-18
"PIP4K2A",1.47728092564403,3.2396919889476,4.43354724998166e-20,6.60097978460978e-18
"P3H1",1.29450830611061,3.27485899225401,4.60224081760604e-20,6.74337856941609e-18
"PLVAP",2.74824863803566,5.06471868343211,4.68433750445849e-20,6.7564249224463e-18
"IMPDH1",1.80019230118933,2.94135110341796,5.59923540380681e-20,7.95177569423703e-18
"GSN",1.70489535695367,9.3583484398969,7.81300283071969e-20,1.09275498682384e-17
"TMEM176A",3.01457636992186,2.25306728915102,8.27559812360274e-20,1.14017979520861e-17
"COL6A1",1.93202787857974,7.71896172037414,8.7301095115086e-20,1.18511236618729e-17
"SYNE3",2.01795888068135,4.40058635310512,9.18937436062733e-20,1.22937847424567e-17
