"genes","logFC","logCPM","PValue","FDR"
"MKL2",-0.798093020662856,5.59029110239633,1.25328709618946e-08,0.000109660824149034
"HACD2",-1.12221669562776,3.58938039535611,2.37592512510095e-08,0.000109660824149034
"SNX18",-0.677122441206543,4.11513234767287,2.61548226067009e-07,0.000804783891608188
"LGMN",-0.787775637224463,5.61884839512916,3.58578159296488e-07,0.000827508747116471
"TMOD3",-0.864496033920221,3.94677863998865,4.67162670991465e-07,0.000862475723184443
"SESN3",-1.57197830786704,5.13944569484293,9.42019039979884e-07,0.00136856130682814
"LRCH1",-0.851092621832498,3.39506593638149,1.03779971268519e-06,0.00136856130682814
"EPS8",-0.899019658869709,5.26993386372137,1.37256829089998e-06,0.00158377223666222
"IFRD1",1.32824980604282,6.03628946778872,1.74620567876429e-06,0.00179102495785258
"HACD3",-0.681294490204512,3.44471094721618,2.04743206913671e-06,0.0018899845430201
"LIPA",-0.965770854924517,3.80936331815357,2.37768561338835e-06,0.00199531053610799
"FAM172A",-0.701220897848003,2.97201355521002,3.07476244634831e-06,0.00236526101185344
"PRCP",-0.889664774099495,4.13085750171884,3.7211444670352e-06,0.00251144159696004
"SS18",-0.60904015971245,4.32097852082167,3.80892453227609e-06,0.00251144159696004
"CTSZ",-0.702973521407139,5.4102356974613,4.35571889340692e-06,0.00268050940700262
"MEX3C",-0.587936613392232,3.79136681410027,4.8843402297712e-06,0.00281795904131362
"ZNF521",-1.03750575873509,3.21390380986587,5.38870506733963e-06,0.00285695596115725
"SASH1",-0.85226581662928,5.81306854513278,5.57092485113535e-06,0.00285695596115725
"TCF4",-0.72320201483332,6.24641485322527,6.94250038385331e-06,0.00333529496189046
"LEPROT",-0.549730304926018,5.46642025759656,7.44335619968959e-06,0.00333529496189046
"CFI",-1.0969053612211,2.30621877376328,7.58760634814208e-06,0.00333529496189046
"SPARC",-1.13389177936896,8.50523991146458,8.32350959696387e-06,0.00349246895861698
"RAB22A",-0.437581077867371,4.40783090326872,8.95906425223155e-06,0.0035957009614065
"WWTR1",-0.924932628173952,4.88036246104702,1.22292128906783e-05,0.00446726879025876
"AHR",-1.17251047251637,3.30858315305486,1.24801937480916e-05,0.00446726879025876
"CCDC50",-0.487396675672133,5.77630435743674,1.28364981651635e-05,0.00446726879025876
"RHOJ",-0.917078189322665,3.38759554707544,1.31390369411689e-05,0.00446726879025876
"STEAP4",-1.13166305820756,5.38629061073755,1.38932257010858e-05,0.00446726879025876
"SYBU",-1.10126554896748,2.17856327144149,1.40343185914315e-05,0.00446726879025876
"PTPRK",-0.651174233117068,4.21913496512824,1.61446005123303e-05,0.00483872895210947
"FZD6",-0.972960769972241,2.55598692389497,1.62522904115257e-05,0.00483872895210947
"ZDHHC20",-0.583251567500965,3.86467016954706,1.71599855854068e-05,0.00483872895210947
"LAPTM4A",-0.496272727810052,6.56289771855947,1.78907306985508e-05,0.00483872895210947
"PARVB",0.861116058788185,7.41062876582193,1.90492769820222e-05,0.00483872895210947
"CLMP",-1.39747422943216,2.89445352517062,1.91964918374331e-05,0.00483872895210947
"THSD7A",-1.40986741056127,1.36871181718951,1.9783134926145e-05,0.00483872895210947
"MTMR12",-0.496305664232458,3.87373352661069,1.98141544242877e-05,0.00483872895210947
"PDIA4",-0.782163562548919,3.91483987905959,2.11885769283505e-05,0.00483872895210947
"GJC1",-0.90404282929384,2.90691650663188,2.13323883891162e-05,0.00483872895210947
"ELOVL5",-1.13317258761823,4.00067179601094,2.13951856160605e-05,0.00483872895210947
"PDIA5",-1.05303052101834,2.41047824239277,2.17903600809154e-05,0.00483872895210947
"MRPS15",0.699014179498468,6.55633787254552,2.20156663404396e-05,0.00483872895210947
"CD81",-0.787857268190041,6.9189215951383,2.34428852974398e-05,0.00498673812717692
"UBE2B",0.761839940221741,7.2171247352657,2.37695241681058e-05,0.00498673812717692
"TARSL2",0.785136126254552,5.9579128283783,2.52267164687669e-05,0.00517484043829304
"NR2F2",-0.802215636875356,5.63101133044372,2.8826257989377e-05,0.0055946387170933
"SPTLC1",-0.542892168866696,3.76811595472863,2.89387326619264e-05,0.0055946387170933
"AIM1",-1.15279697789957,2.25340136347892,3.00987307427336e-05,0.0055946387170933
"ASAP1",-0.651229321937927,4.94837963957752,3.01113463658668e-05,0.0055946387170933
"SPIN1",-0.893699356026117,3.80813093090232,3.03035354625355e-05,0.0055946387170933
"ATP1B3",-0.910342525642522,4.59308143592849,3.10246869705821e-05,0.00561546834167536
"GNB1",-0.500530644774431,6.27729828043706,3.40327276965082e-05,0.00604146364166283
"SPTLC2",-0.600936921121899,4.14763388808949,3.65255838821705e-05,0.00636165405313803
"NUDT5",-0.655121231543382,2.95545420530696,3.7999737740969e-05,0.00640459999732896
"ANO1",-0.862768322593479,3.75664207343212,3.81597876560603e-05,0.00640459999732896
"EHBP1",-0.617126119135345,4.32087691729588,3.93897123903232e-05,0.00649297205491202
"LHFPL2",-0.996757313433684,3.06504261370716,4.05050536046553e-05,0.0065596868390276
"MNAT1",0.63660164110018,5.10500626199008,4.23848710072457e-05,0.00672311946821402
"DCLRE1B",-0.775530134035962,1.16520471249681,4.2970864329393e-05,0.00672311946821402
"POLDIP2",0.617948978357437,7.80934254762737,4.41406633703374e-05,0.00679104105952641
"TSHZ3",-0.918497455672878,2.4410362580939,4.99943183720747e-05,0.0075655336539774
"SFT2D2",-0.663427435835657,4.65412972627573,5.57186973145784e-05,0.007924751450874
"ITPRIPL2",-0.681624737834146,4.31540212043005,5.63094662182892e-05,0.007924751450874
"TCF12",-0.41410771743039,5.44570304880793,5.8238766023385e-05,0.007924751450874
"LDAH",-0.993233759103926,0.925748477325888,5.86401587580803e-05,0.007924751450874
"NAB1",-0.745594601700457,3.75167371732589,5.8865975954993e-05,0.007924751450874
"PNMA1",-0.945154273547075,3.83348648195174,5.92288498079551e-05,0.007924751450874
"TPT1",0.710008597115859,12.2053504916456,6.1461840306459e-05,0.007924751450874
"RP2",-0.715996481634786,1.70106152035384,6.37483318879859e-05,0.007924751450874
"ID3",-0.924690777191788,4.6951189757363,6.44944161284052e-05,0.007924751450874
"EHD4",-0.987342048189263,3.86428410068499,6.54657318571347e-05,0.007924751450874
"SLC23A2",-0.727610934888858,3.67834296691174,6.58849907134664e-05,0.007924751450874
"CDK16",0.535520295976118,7.27091497726213,6.67310892955931e-05,0.007924751450874
"EBF1",-1.07116104532474,4.11587974659818,6.77046626198186e-05,0.007924751450874
"EBF2",-0.858586339978939,3.93260940582541,6.87183616821969e-05,0.007924751450874
"IL33",-1.3850822886545,3.02411919175873,6.87448406303744e-05,0.007924751450874
"TGFBR2",-0.967550074970345,6.25005390538845,6.90264001255549e-05,0.007924751450874
"MOB1A",-0.517915350437785,5.09654506976537,6.94303584219108e-05,0.007924751450874
"PAPSS1",-0.833056893523099,3.03058627682642,6.99852145469677e-05,0.007924751450874
"MCTP1",-1.22744502481314,2.78900598634629,7.00945581390043e-05,0.007924751450874
"C1orf43",0.564188134428964,8.03772080304977,7.01580327141072e-05,0.007924751450874
"LRRC47",0.486743088499451,7.00438417260856,7.03964488107105e-05,0.007924751450874
