"genes","logFC","logCPM","PValue","FDR"
"IL6R",-3.07494507589612,6.56981528490488,2.84280235596158e-40,2.61509388724906e-36
"KDM7A",-1.60347986268722,5.52765815544791,5.69530257664571e-38,2.61955442012819e-34
"RAB40C",-1.81203578540469,5.0500104589583,3.4857132677812e-31,1.06883587834398e-27
"UNKL",-1.32728032408738,5.16109051168252,1.19864279587246e-30,2.75657876980769e-27
"ATP6V0A1",-1.70714260977397,7.09635084352334,6.45666125923937e-30,1.18789653847486e-26
"HMOX1",-3.15406742916718,6.34747713368777,3.01265612025996e-29,4.6189039417119e-26
"ZNF598",-1.20735104192833,5.02478170570193,3.81981345093278e-29,5.01978056216152e-26
"AIG1",2.24280313089446,4.91999669906952,4.31954779776279e-28,4.96694002395248e-25
"UBC",-1.89246127738742,9.23330847590546,5.92059725797424e-27,6.05150824178945e-24
"ADAMTS17",-3.46169779980392,3.25548321894168,1.61893076971286e-26,1.48925441505886e-23
"PFKFB3",-3.38711919783469,8.21803187418981,2.22654234400508e-26,1.86199663840934e-23
"ARNTL",-2.03411993791099,3.55884111197764,7.62257272431918e-26,5.58755879374281e-23
"ULK1",-1.49747916760616,6.62904609187013,7.89632180874622e-26,5.58755879374281e-23
"DAZAP1",-1.0118035012058,6.64072179702237,1.40655895936662e-24,9.24209704800967e-22
"POMT2",-1.67129880445071,4.95698701322253,1.00928601572533e-23,6.18961470577155e-21
"TBC1D22B",-1.55958410445998,4.17764234479855,1.1534468902292e-23,6.63159871451152e-21
"SPPL2B",-1.60984441253098,5.57030499292141,3.62543797318224e-23,1.96178846560609e-20
"XPO5",-0.963719652634738,4.60559672936739,6.79656221555845e-22,3.47342087894012e-19
"LGALS3BP",2.72856992240432,6.9488071257341,7.7128676129565e-22,3.73424574587299e-19
"CFLAR",-1.53624488089201,8.46923045527203,1.22318817724959e-21,5.62605402125947e-19
"SLC7A6",-2.25047382419904,7.3532624227875,1.35403858557622e-21,5.93133378510269e-19
"SLC9A8",-0.90374659752227,5.04187386821806,1.69769726042594e-21,7.0986895902992e-19
"FBXO32",-2.42683206850521,9.57949362731763,1.93186533448377e-21,7.72662139648532e-19
"TFAP4",-1.45366818109396,3.27045022644282,7.30744124882156e-21,2.80088133532956e-18
"TJAP1",-1.00473206922664,5.51310386125432,1.73024419774502e-20,6.36660655002256e-18
"POLR3E",-1.28381264948802,5.79173907434307,2.18102310339112e-20,7.71662751080572e-18
"GRAMD1A",-1.10127492702777,5.84184063355607,3.57988633454142e-20,1.21968053301654e-17
"HGS",-1.16848791221501,5.98033212719737,4.15554608949816e-20,1.36524530276049e-17
