"genes","logFC","logCPM","PValue","FDR"
"STAT1",2.69331285362225,6.13700722386948,3.45862342292548e-54,3.19265528170251e-50
"B2M",2.35559045430241,8.89219068255526,2.42787803624145e-44,1.12058710762724e-40
"GRK3",3.30164566692108,2.7309456671356,2.349570706485e-43,7.22962906385433e-40
"ELOVL5",3.07743801996646,4.00101788559622,2.86685571371548e-42,6.61598627332689e-39
"PRKAR2B",4.93082212563968,2.97625937773962,2.2452273888574e-41,4.14513880530853e-38
"FGL2",3.50165493733439,4.19342002945933,3.55265439975285e-40,5.46575879401976e-37
"ATP6V0A1",-1.66666837638397,6.95968304049143,3.53133321993584e-39,4.65681956474682e-36
"GPAM",3.68068717354274,5.27542565798242,1.11585025171183e-38,1.28755170919399e-35
"HLA-DRA",3.27836805610365,6.06281916214285,2.47063751614033e-38,2.53405054572127e-35
"SNX18",1.33554880990217,4.11537455157704,3.1301302595613e-38,2.88942324260104e-35
"ASPSCR1",-1.56835588790261,5.16744200374839,4.81304600763819e-38,4.03902069968256e-35
"HLA-DPA1",3.11183709497978,5.11746122961174,1.10417035940989e-37,8.49383048976058e-35
"CDKN2C",2.42517120878805,3.27063932200603,2.10905575096606e-37,1.49759181824367e-34
"EIF5B",-1.4976035334875,7.80380973330838,2.42920100123436e-37,1.6017110315996e-34
"SECISBP2",-1.1578007840462,6.04474349689686,5.32719935408468e-37,3.27835848250371e-34
"HLA-B",2.25755779336649,7.7638711827922,6.25804109744661e-37,3.6104985856581e-34
"RSL1D1",-1.31232661720193,7.62177037139975,8.32429663559793e-37,4.52009307312968e-34
"HLA-DPB1",3.04316882804575,4.5693362946382,2.38322818205119e-35,1.22219885269525e-32
"RBM25",-1.19290025553873,6.80057791391342,5.69259041631059e-35,2.64744595131982e-32
"SLC15A3",2.0642110045829,2.50512463640303,5.7359894947889e-35,2.64744595131982e-32
"AOC3",3.39812249307597,5.12786484306015,4.51682690783341e-34,1.9854680564862e-31
"SH3KBP1",2.06113189966185,3.98794220959966,6.14016527401356e-34,2.57635752929178e-31
"RAB40C",-1.81420591013714,4.54726990617965,7.4437908913389e-34,2.98754929208476e-31
"UBE2G2",-0.844251401576269,7.02333412121135,8.10393127656167e-34,3.11697456724753e-31
"RNPS1",-0.964232468353663,7.11799673407341,8.75237156763008e-34,3.14662946310465e-31
"KRI1",-1.21755096703153,4.82376462424308,8.86278475145932e-34,3.14662946310465e-31
"PSMB8",2.63383017843141,3.42620756298561,1.05083852957885e-33,3.58587861459748e-31
"TCOF1",-1.30178985661429,5.36763734948196,1.08768932086155e-33,3.58587861459748e-31
"RRP1",-1.38871906969208,4.29880777516029,1.61169576233164e-33,5.13019433864945e-31
"ITM2A",2.22612299900076,4.57061450937769,3.59328007676311e-33,1.07093271037361e-30
"UPF3B",-1.38648467436218,3.78572107243673,3.59645910752702e-33,1.07093271037361e-30
"POLR3E",-1.23778650924224,6.28150588313009,5.22455767087311e-33,1.4966359622541e-30
"NOC2L",-1.13792999874678,6.29372368499879,5.4687041496463e-33,1.4966359622541e-30
"LGALS3BP",2.6864740386669,5.09183495646355,5.51247131585305e-33,1.4966359622541e-30
"TRIM69",1.88669934072716,5.16498829007666,6.08521307027326e-33,1.58625864523505e-30
"PSMB9",2.6136883667641,2.57414817007119,6.18625406006519e-33,1.58625864523505e-30
"CDK11B",-1.65213078136625,5.85553032967231,1.09220844320749e-32,2.72491247006712e-30
"ENTPD1",2.1412804253497,3.34211156252513,1.35194690417508e-32,3.28416365064215e-30
"EIF3B",-1.24817067953369,7.54574798863381,1.61843532479395e-32,3.8307119187623e-30
"DOCK8",2.32438461642495,2.7088213187845,1.71824258014087e-32,3.96527431432009e-30
