"genes","logFC","logCPM","PValue","FDR"
"CTC1",1.43750992988023,4.14138409131685,5.34198944635234e-39,4.93119045792784e-35
"DPP9",1.69542803673186,6.93694499199361,7.39679000802184e-35,3.41398842820248e-31
"KIF21B",1.85713689215436,1.07279199716593,2.12898389227908e-24,6.55088343654273e-21
"MYH3",4.14233082965355,7.49498516912364,5.33356201118142e-24,1.00416993366691e-20
"CACNA1A",2.30246629367517,0.643795751555455,5.43911782941668e-24,1.00416993366691e-20
"MX2",1.78489151052157,2.65936293401949,2.5936812128678e-23,3.99037854599711e-20
"UBXN11",1.24487602107825,2.79489733183664,5.47918353156691e-23,7.22547759712774e-20
"SLC15A3",1.16916396400098,2.50449718065248,4.89062196703975e-21,5.643166422218e-18
"IFI6",2.23299978874593,3.88442126419141,4.75620858269977e-20,4.87828460298907e-17
"EPB41L3",1.45929107886642,4.40579806016169,5.41171295935937e-20,4.99555223278463e-17
"SIGLEC1",1.82103267211879,3.59584265128096,4.40378818867997e-19,3.69557897906407e-16
"LGMN",0.791131682529321,5.61884818433331,4.80500030665958e-19,3.69624648589788e-16
"SYNGAP1",1.22536650839403,2.77654081330624,7.12331283456395e-19,5.05810005968153e-16
"PIK3R5",1.75330720331093,1.19098858802522,7.95037773976973e-19,5.2421383511296e-16
"PHACTR1",1.25337551171833,1.12054707012444,1.37909274660228e-18,8.48693676259044e-16
"ABCB9",1.294311949159,1.8666973878307,4.85692150666998e-18,2.80214015175441e-15
"VAV2",1.19438472230989,2.55005028207743,5.54808218860536e-18,2.90496770449541e-15
"ARMC9",1.62395913728074,1.05863533940941,5.6645454101308e-18,2.90496770449541e-15
"ADAMTS2",1.99474854708285,3.42419636194099,2.38005007424525e-17,1.15632853870305e-14
"EFHC1",1.10507571568851,2.60993060773245,7.34108722163375e-17,3.38827880714506e-14
"CEP164",0.87884968417617,3.50095410823226,8.44909125199772e-17,3.713979111771e-14
"ARHGEF28",1.45663939067012,1.71060935391753,1.30011352645104e-16,5.36885323376743e-14
"ROBO3",1.54882039519202,2.23455159114527,1.33770582143485e-16,5.36885323376743e-14
"LAMA3",1.33816572035603,3.27966941463195,1.5570728615329e-16,5.98889149367091e-14
"AP1G2",1.07062226135816,1.96550727115165,1.9141195128385e-16,7.06769488920486e-14
"SLC37A2",1.75781982870464,0.815757294011982,3.24476459040902e-16,1.15201622823329e-13
"TBC1D16",1.18058228966512,4.59729890520711,3.52315790177595e-16,1.20452854041829e-13
"SATB2",1.08011716596189,2.57794350922034,5.08354588647554e-16,1.67593614564485e-13
"CHFR",0.87326454402597,3.95181790217071,6.50198861711241e-16,2.06965023877809e-13
"RAD51B",1.30372025307568,0.740677078101315,7.02740534729391e-16,2.16233262536234e-13
"GOLM1",0.873067622874124,3.48606117434112,7.59568799494804e-16,2.25933226692585e-13
"AGPAT4",1.05822577509123,2.04930661593038,7.95306341433479e-16,2.25933226692585e-13
"PYGL",1.51933540818578,3.15006425711162,8.07691093148663e-16,2.25933226692585e-13
"MSR1",1.95150694343298,1.60066456471424,8.68257838582819e-16,2.35732003175235e-13
"SLC38A10",0.821079928070023,5.10932833958516,1.16095329413019e-15,3.06193138803308e-13
"IFT122",0.86913653157983,3.43967024456799,1.71370204184398e-15,4.39421765229493e-13
"CDC25B",1.07152952799634,4.05021668987051,1.93299015698752e-15,4.82254922679778e-13
"GDPD5",1.01275675134183,3.89079578237901,2.0994890874992e-15,5.1001009912382e-13
"SRGAP1",1.28698997514804,2.21119964416554,2.22335268734173e-15,5.26250478380808e-13
"KAZN",1.40176284577636,1.73737704256485,2.58357833254833e-15,5.9622528969384e-13
"VPS4A",-0.537446992237284,7.12737026759041,2.85277002062845e-15,6.42290733181005e-13
"SHC3",1.28323782801036,0.519378255173137,3.09296463798441e-15,6.64034106935838e-13
"HACD2",0.948133818475103,3.589371059489,3.09321488443734e-15,6.64034106935838e-13
"PTPRF",2.03176034186271,3.92515061580819,3.33916989477518e-15,7.00542665878856e-13
"GALNT10",0.914434942468329,4.03443921483617,4.1191599610041e-15,8.37679543061875e-13
"ATXN7L1",0.767336473529505,2.18893352900915,4.1743320312909e-15,8.37679543061875e-13
"SLC24A1",1.01765075073581,1.40418058910484,4.28443432519919e-15,8.41481133104548e-13
"OAS3",1.50840122847733,3.25275086150778,4.45107034959983e-15,8.4919745145576e-13
"BID",1.00135393832925,4.12788288444938,4.50771044538319e-15,8.4919745145576e-13
"C19orf66",1.0646496670947,2.37940112565904,5.22591789548701e-15,9.64808961864811e-13
"PARVG",1.50190096957966,1.17202144358276,5.34415485303782e-15,9.67292028399845e-13
"APOE",1.70663959308097,4.37141201407787,5.58480854765932e-15,9.91410917373908e-13
"DNMT1",0.71749520010586,4.38638249267959,6.26575136865664e-15,1.09130473366169e-12
"TIAM1",1.46358098053556,1.52888380927822,6.81178347751711e-15,1.16443654224001e-12
"GAS2",-1.59573041544224,2.45479974685144,9.57509379204973e-15,1.60704892353475e-12
"ZFHX2",1.37184376534033,1.16471620850649,1.1929183308592e-14,1.96639805574309e-12
"COL16A1",1.50304259799761,4.54269430310656,1.26690864255149e-14,2.05172520691101e-12
"SPEF2",1.24681919221481,0.851983357701845,1.67757273017279e-14,2.66994377107328e-12
"TRPM2",1.429068480818,0.7557198264969,1.80056511877875e-14,2.81323010787064e-12
"LMF1",0.869310132358158,2.78598592696875,1.82855385626951e-14,2.81323010787064e-12
"CD84",1.58032776133101,1.49405117092303,2.01615895359204e-14,3.05101037714887e-12
"SP110",0.999822279480813,2.92539595210061,2.55218908501554e-14,3.7998802328675e-12
"MX1",1.47791053364155,3.69733364240283,2.99043682189826e-14,4.38170195284807e-12
"KCTD11",0.742583274706371,2.65959766468291,3.39568554033254e-14,4.89774581606401e-12
"BACE1",0.486346903270273,4.70996416143569,3.46873874166585e-14,4.92614266527961e-12
"PLXNA3",1.2022377110555,3.58052250742323,4.0509157719434e-14,5.64261525584023e-12
"LGALS3BP",1.19513517617624,5.09172472931634,4.13171182264307e-14,5.64261525584023e-12
"ADGRL1",1.16257329691074,2.64828857298393,4.15662265623589e-14,5.64261525584023e-12
"SRPX2",1.40616663557356,3.15044985037776,4.59261684436314e-14,6.14412262178496e-12
"ZNF217",0.837008880616845,3.31449743833079,4.97769837063565e-14,6.56416195133396e-12
"RNF135",0.847872458075099,2.84240763693252,5.7669362068894e-14,7.4978293134924e-12
"PEG3",1.11633997170395,2.30257838661041,6.14356531377076e-14,7.87656269603026e-12
"TRANK1",1.16497142788968,2.84026041627312,6.30646994365094e-14,7.97466082874546e-12
"STAT2",0.638139126748951,5.51680541267535,8.23916160158408e-14,1.02777973978679e-11
"KNTC1",0.749717134922247,2.40264772383032,8.71656338011327e-14,1.07283462082434e-11
"ADRA2A",2.17161448210785,1.71730420589718,1.00658055825164e-13,1.22107069724737e-11
