"genes","logFC","logCPM","PValue","FDR"
"SPIDR",1.93948655591605,4.77610152497113,4.95271725749114e-93,4.57185330039007e-89
"SSRP1",1.05241944275737,6.66860617364492,4.7235648267602e-85,2.18016134579117e-81
"ZNF598",1.14994996334831,5.18897759352287,3.18113914400058e-80,9.78836514608979e-77
"FEM1B",1.50904633140575,6.95098529610068,1.84894266465343e-74,4.26689743435396e-71
"HGS",1.00283843093059,5.90048342275344,4.59856716491551e-72,8.48987469986702e-69
"ZNF558",0.829081018083559,3.66855873172657,2.93554187614588e-71,4.51633117645043e-68
"HLTF",-1.2076718069047,4.22370097263157,3.66625272698109e-71,4.83473984610892e-68
"MCM7",0.864194852505819,5.58302530373993,7.49442154336177e-70,8.64762565834656e-67
"GALNT15",2.3133373573839,5.82889665736938,4.74761212143941e-69,4.86946749922302e-66
"TBC1D15",1.12238148572401,5.80982246965094,1.08054070685754e-68,9.97447126500196e-66
"SIRT7",1.10343161257498,2.85069786072508,2.33788306082579e-68,1.96190895768026e-65
"NAP1L1",1.0174266756685,8.33842393001258,1.06997634437544e-66,8.23079302910805e-64
"PAXBP1",0.716976488002111,4.72549699640174,4.05117539933137e-66,2.87664616240215e-63
"CBFB",1.03838311214897,5.30606166872497,9.02191652049497e-66,5.94866510004922e-63
"CMSS1",1.63669261242533,4.66730168326105,1.27030660539302e-65,7.81746684958862e-63
"KDM7A",1.03661251469428,6.40844428001194,2.11555718814703e-65,1.22054427523658e-62
"TRAK1",-1.12346704250027,7.54651046227209,3.43942019389325e-65,1.79224615111688e-62
"HSPBAP1",1.22008102216362,4.52615238081353,3.49479262486229e-65,1.79224615111688e-62
"RGS3",-2.04012993467282,5.09120843865696,5.85156696742376e-65,2.84293761454151e-62
"NOP14",0.870076726881097,5.64571705981535,7.27851633588939e-64,3.35939921482975e-61
"DDRGK1",0.904090780067117,4.99120188697679,1.02506489534686e-63,4.50589240426042e-61
"SUN2",1.07126194451154,7.16292094811275,2.04565284792545e-62,8.58337338145447e-60
"SF3B2",0.694944091204028,6.80092555257459,3.45551689553057e-62,1.38686419402794e-59
"CBLB",1.30805078778991,4.67804072739954,7.55179513361244e-62,2.90460920326568e-59
"EDEM3",0.96207299899855,5.45565036318213,1.06139331432156e-61,3.91908867380093e-59
"EML1",-1.31364306828147,4.93512125690541,3.60112906167037e-61,1.27853932185689e-58
"TAF1D",1.14443917054247,5.51181984330887,6.76064909565979e-61,2.3113908074828e-58
"EDEM1",0.831204664769959,4.04448809993781,3.92037470824359e-60,1.29246353327845e-57
"CSPP1",1.51440770199285,4.80637204525274,1.24826037956588e-59,3.97334191854228e-57
"SLC3A2",1.21559752068939,6.31932630388207,1.58197896241417e-59,4.8677492673484e-57
"DHRS7",1.20027795931925,7.89794901016348,2.46797663133871e-59,7.34899751093149e-57
"PRPF38B",0.794792327914441,5.52513413040142,4.77826331096422e-59,1.37837964448471e-56
"HIBCH",-1.28219171245497,4.81213293952647,6.1967732603755e-59,1.73340648383413e-56
"ANKRD27",1.24651920933696,5.16957551065049,1.59952184562032e-58,4.34270181085918e-56
"TTC13",0.770530125411476,4.04036865784491,4.3572259011166e-58,1.14918720837735e-55
"ATP6V0A1",0.895674590868324,6.95968938388935,7.81063608206549e-58,2.00277726870963e-55
"YARS",0.95660889627994,5.89683908331578,2.77927373424304e-57,6.93391238940474e-55
"WTAP",1.04796077459071,6.53665531157287,3.70916074548402e-57,9.01033232672711e-55
"VARS",0.862952893038344,6.51474802696387,5.00499475369904e-57,1.18464375824092e-54
"NREP",-2.85771715472557,5.2652159770794,1.12215632269474e-56,2.5896562536988e-54
"RTN4",-1.2689976509611,8.86656758117073,2.34023100105091e-56,5.26894448065876e-54
"TMEM108",-1.79761251010556,3.58510231419222,2.46192516494241e-56,5.41095980894843e-54
"BPHL",-1.04032976529471,3.08249684924211,3.00435999575061e-56,6.44959235366834e-54
"SMAP2",1.79209562443702,4.89705629569215,3.50893917485251e-56,7.36159489160535e-54
"COQ7",-0.832950743701545,4.84029476111559,6.57631612865519e-56,1.3490216485248e-53
"CRTC2",0.776583419927027,5.31320725408064,7.96392319236969e-56,1.59815163019053e-53
"SIRT3",-0.983299676027039,4.77836167456978,9.72282380976588e-56,1.90960396995636e-53
"SCP2",-0.850751883366887,6.42022053975631,1.94120055526805e-55,3.73317131784987e-53
"QDPR",-0.988875613854625,5.32316080884005,2.71226962582417e-55,5.10958386040468e-53
"ACSL4",2.09444317331329,6.31096444076457,4.51528924432088e-55,8.33612700286521e-53
"ALDH5A1",-1.58811722197556,5.95134078870491,4.78058584341577e-55,8.65286037658255e-53
"MRPL16",-0.872187814345525,5.09313280559536,7.49744880191535e-55,1.32274138499797e-52
"AUP1",0.699413810154163,6.12710578070384,7.59455025510697e-55,1.32274138499797e-52
"ANKH",-1.01963819813597,6.75822825254573,8.51759492466525e-55,1.43903016685185e-52
"CREBRF",1.01787819767883,4.93116999364939,8.57400706064907e-55,1.43903016685185e-52
"EIF2B4",0.619498504487414,5.27967073012058,1.52504405137842e-54,2.5138717211204e-52
"DUSP28",-1.05806015700634,4.00837558653205,2.96003741912509e-54,4.79370270455152e-52
"WAC",0.490057062329547,6.52765109822796,5.31685392885361e-54,8.46204803745649e-52
"MGST3",-1.24721967606042,6.94125475815633,1.85351495313844e-53,2.89996551396965e-51
"IBTK",-0.922541420987752,6.34813048677323,2.55435889050135e-53,3.92988115303632e-51
"COQ10A",-1.94118108497264,6.71850437640396,3.52932351186871e-53,5.34085005541968e-51
"TFDP1",-0.848252102819461,5.53438578597948,4.01842087256087e-53,5.9829101733241e-51
"TMEM214",0.729178577600699,5.49546024068178,4.74411940791891e-53,6.95126448484119e-51
"WDR62",-3.06804360074553,5.47405425773803,7.58521979708983e-53,1.09404943667088e-50
"PTPA",-1.09203799126329,6.93414168208417,8.09219182540416e-53,1.14921573446624e-50
"MDH1",-1.55529821682609,8.33384509796596,1.50770395410371e-52,2.10872957580778e-50
"RSL1D1",0.701419506819163,7.62177513962902,1.58517677813677e-52,2.18399505059411e-50
"ACADM",-1.60161505811031,7.72113826416568,2.64346081472632e-52,3.58849805599098e-50
"CTNNBIP1",-1.1281645375753,4.0734358824668,3.89364981618308e-52,5.20902629756318e-50
"ANKLE2",0.447882110917049,5.84403139641636,4.22359166443751e-52,5.56971066491753e-50
"FURIN",0.932554688999005,6.56358641164657,4.41737916851834e-52,5.74321508515391e-50
"C9orf3",-1.24795490711462,6.43403198582559,4.69371718370798e-52,6.01773657261227e-50
"NMT1",0.608749449567093,6.56691290767149,5.38701854382281e-52,6.8119956408258e-50
"KRI1",0.677422350214487,4.82376836219651,8.71117499246421e-52,1.08666022101942e-49
"SBK1",-1.78167975031395,5.251565195703,1.30675472098379e-51,1.60835371058685e-49
"PPP2R3A",-1.58182800356974,7.35136884496378,1.94631325730235e-51,2.36400232607341e-49
"SLC7A6",1.39465083503914,6.46647371757289,2.00725747728584e-51,2.40636282763969e-49
"NLRX1",-0.945531245789436,5.04824361374462,2.09851200158885e-51,2.48350824188035e-49
"DENR",-0.606988532456747,5.63140029295584,3.22516252518441e-51,3.76854117341484e-49
"FAM217B",-1.4859040602448,4.4346204912986,3.27944339051371e-51,3.78406774222901e-49
"AAMDC",-1.81598413556721,5.30586228954122,3.79027086376535e-51,4.31950498066888e-49
"DIAPH1",1.04176359712621,8.09818707820113,4.12502988986966e-51,4.64367694065693e-49
"TCOF1",0.710062284358375,5.36763530584548,4.40969889187568e-51,4.90432897239812e-49
"SERINC3",0.714420551625291,7.10396499477619,4.97421475031811e-51,5.46630670954601e-49
"KLF3",0.78582245083208,4.94109446716478,5.16974622346819e-51,5.61434439868646e-49
"FAM134A",0.726230724738385,5.05763404171025,5.34193268425448e-51,5.73388146608757e-49
