"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","description","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","data_processing.6","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","tissue:ch1","treatment:ch1"
"GSM6482921","ACL non-injured quadricep biopsy A04NR","GSM6482921","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL non-injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL non-injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416836","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156388","NONE","Skeletal muscle","ACL non-injured quadricep biopsy"
"GSM6482922","ACL injured quadricep biopsy A04R","GSM6482922","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416835","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156389","NONE","Skeletal muscle","ACL injured quadricep biopsy"
"GSM6482923","ACL non-injured quadricep biopsy A05NR","GSM6482923","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL non-injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL non-injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416834","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156390","NONE","Skeletal muscle","ACL non-injured quadricep biopsy"
"GSM6482924","ACL injured quadricep biopsy A05R","GSM6482924","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416833","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156391","NONE","Skeletal muscle","ACL injured quadricep biopsy"
"GSM6482925","ACL non-injured quadricep biopsy A09NR","GSM6482925","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL non-injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL non-injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416832","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156392","NONE","Skeletal muscle","ACL non-injured quadricep biopsy"
"GSM6482926","ACL injured quadricep biopsy A09R","GSM6482926","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416831","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156393","NONE","Skeletal muscle","ACL injured quadricep biopsy"
"GSM6482927","ACL non-injured quadricep biopsy A12NR_b","GSM6482927","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL non-injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL non-injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416830","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156394","NONE","Skeletal muscle","ACL non-injured quadricep biopsy"
"GSM6482928","ACL injured quadricep biopsy A12R_b","GSM6482928","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416829","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156395","NONE","Skeletal muscle","ACL injured quadricep biopsy"
"GSM6482929","ACL non-injured quadricep biopsy M01NR","GSM6482929","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL non-injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL non-injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416828","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156396","NONE","Skeletal muscle","ACL non-injured quadricep biopsy"
"GSM6482930","ACL injured quadricep biopsy M01R","GSM6482930","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416827","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156397","NONE","Skeletal muscle","ACL injured quadricep biopsy"
