Status	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM1812/FM1812_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM22/FM22_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM2670/FM2670_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM3310/FM3310_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM3311/FM3311_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM3591/FM3591_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM3894/FM3894_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM3901/FM3901_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM4021/FM4021_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM4024/FM4024_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM4025/FM4025_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM4028/FM4028_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM4087/FM4087_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM466/FM466_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM806/FM806_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM951/FM951_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/FM963/FM963_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/NEM_3613mbl/NEM_3613mbl_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/NEM_3613tubes/NEM_3613tubes_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/NEM_4743fbl/NEM_4743fbl_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/NEM_4743mbl/NEM_4743mbl_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/NEM_4743tubes/NEM_4743tubes_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/NEM_WTmbl/NEM_WTmbl_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam	/proj/pehackma/project_RNA/RNA_polyA/novogene_may2022/star_Gencode.v39/NEM_WTtubes/NEM_WTtubes_RNA_polyA_GRCh38_Aligned.sortedByCoord.out.bam
Assigned	26427194	21775694	28503609	24097577	27801827	25162089	29672921	29135245	25871834	22898255	24464375	26183154	21045976	23601054	22533755	26198073	25678764	27253948	27628313	30308962	23588591	27480372	27510381	26356444
Unassigned_Unmapped	1208469	1263603	1257863	1128362	1322952	1018334	1170765	1245998	1002314	1076167	1021091	1311907	1141396	1491890	977607	1092101	1115795	1108322	1106815	1199435	848957	1014795	980603	1072973
Unassigned_Read_Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Singleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MappingQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MultiMapping	30456364	44866657	23306781	24325053	16747393	26212657	21297623	31228262	23261066	16948947	17515950	27716096	20595321	21483596	19310617	24894849	18907769	24000922	25926429	24805324	19860836	18541381	26512310	21628181
Unassigned_Secondary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NonSplit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NoFeatures	27327161	23495374	28966313	24507105	28933999	25141226	30840072	29988642	25869597	23123630	24947620	26873320	22590991	28778608	22654191	25610012	26221592	26293605	27692628	28738415	23287179	27614949	26428951	28050231
Unassigned_Overlapping_Length	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Ambiguity	884056	787139	1123665	920255	1080463	1000450	1111632	1185673	1056497	946335	1080114	1011465	881632	865294	958862	1068680	891321	997981	1048645	790135	851081	806123	952326	856838
